	Region	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
0	Maize_Spring_USA_Nebraska	-0.06276	-0.1569	0.40794	0.0	-0.40794	0.0	0.37656	0.0	-0.12552	1.12968	-0.56484	-0.56484	1.19244	0.56484	-0.9414	0.0	0.0	0.0	0.87864	0.12552	-1.75728	0.3138	0.0	-1.12968	0.0	0.0	0.0	0.18828	-0.25104	-0.37656	0.06276	0.0	0.43932	-1.44348	0.25104	-1.31796	0.25104	-0.43932	0.37656	0.0	-0.81588	0.50208	-1.12968	-0.06276	0.87864	0.0	-0.50208	0.0	0.0	1.00416	0.18828	-0.37656	-1.50624	0.28242	0.6276
1	Maize_Spring_USA_Iowa	-0.75312	-0.04707	0.0	0.1569	-0.1569	0.0	0.03138	-0.03138	0.25104	0.37656	-0.81588	0.0	0.87864	0.3138	-0.69036	0.0	0.06276	-0.3138	0.3138	0.75312	-0.6276	0.3138	0.50208	-2.07108	-0.50208	0.0	0.56484	0.25104	-2.63592	0.0	0.50208	-0.06276	1.31796	-2.69868	0.87864	-0.9414	0.0	0.0	0.06276	0.25104	-0.12552	-0.18828	0.37656	-0.37656	0.9414	0.12552	-0.3138	0.0	0.0	0.6276	-0.37656	0.43932	-1.75728	-0.25104	0.87864
2	Maize_Spring_USA_Illinois	-0.69036	-0.18828	0.3138	0.12552	-0.3138	0.43932	-0.50208	0.6276	0.0	0.0	-1.75728	0.18828	0.43932	-0.18828	-1.569	0.69036	0.0	-0.37656	0.25104	1.00416	-2.07108	0.0	1.06692	-2.94972	-1.06692	0.18828	0.18828	0.0	-3.38904	0.0	0.25104	-1.2552	1.19244	0.0	1.2552	-1.06692	0.0	-0.43932	0.06276	-0.06276	0.6276	0.06276	-1.06692	0.75312	1.06692	-1.31796	-0.75312	0.06276	0.3138	0.0	0.0	0.0	-3.26352	0.65898	1.38072
3	Maize_Spring_USA_Indiana	-0.37656	-0.25104	0.50208	0.3138	-0.6276	0.50208	-0.37656	-0.12552	0.12552	0.75312	-1.50624	0.0	0.18828	0.06276	-1.82004	-0.25104	0.50208	-0.37656	0.0	0.25104	-0.75312	0.0	1.12968	-2.76144	-0.3138	0.06276	0.0	0.75312	-2.88696	0.25104	0.0	-2.5104	0.9414	0.0	0.75312	-0.6276	0.0	-0.06276	0.3138	-0.3138	0.56484	0.6276	-1.569	-0.50208	0.87864	0.0	0.0	-0.18828	0.18828	0.87864	0.0	-0.69036	-3.64008	0.97278	0.69036
4	Maize_Spring_USA_Minnesota	-0.34518	0.1569	0.0	0.50208	-0.18828	-0.50208	0.25104	-0.25104	0.0	0.25104	0.0	-0.25104	0.50208	0.6276	-0.50208	0.0	-0.69036	0.0	0.25104	0.0	-0.43932	0.6276	0.37656	-1.63176	-0.37656	0.0	0.43932	0.3138	-3.138	0.06276	0.25104	0.0	-0.37656	-3.07524	1.44348	-0.37656	-0.43932	0.0	0.50208	0.3138	-0.3138	-1.00416	0.69036	-0.69036	0.0	0.9414	0.0	-1.00416	0.0	0.75312	0.75312	-0.6276	0.37656	0.09414	-0.18828
5	Maize_Spring_USA_Ohio	-0.37656	-0.06276	0.12552	0.25104	-0.69036	-0.25104	0.3138	-0.3138	0.12552	0.06276	-0.50208	0.25104	0.75312	-0.69036	-1.06692	0.0	0.0	0.0	0.0	0.6276	0.0	-1.06692	0.06276	-2.13384	0.0	0.43932	0.50208	0.0	-2.1966	0.0	0.25104	-1.31796	1.38072	-0.69036	1.12968	0.0	-1.44348	0.50208	0.43932	-0.75312	0.56484	0.0	-3.64008	0.81588	0.12552	-0.81588	0.56484	0.0	-1.75728	1.12968	0.43932	-0.43932	-2.5104	0.65898	0.12552
6	Maize_Spring_China_Jilin	-0.235	0.11935	-0.0345	-0.043	0.0502	-0.0502	0.0	0.1324	0.0	-0.3167	0.2764	0.1543	-0.4307	0.0	0.0	0.1765	0.0	-0.4547	0.0723	0.2568	-0.3291	0.0	0.0	0.7651	0.8442	-0.7651	-0.6955	0.6955	0.4338	-1.1912	0.7526	0.0	-0.6562	0.2871	0.2596	-0.2871	0.2125	-1.93122	0.88254	1.98993	-1.45006	-0.87946	0.0	0.0	0.0	0.18101	0.58294	-0.18101	0.54988	-0.45689	-0.54988	0.0	0.19448	0.08097	
7	Maize_Spring_China_Liaoning	-0.496	-0.0539	0.0	0.0	0.0	0.0	0.0	0.1777	0.0	-0.1959	0.4771	0.0	-0.4771	0.0	0.0	0.1635	0.133	-0.2965	0.0	0.0	0.0239	-0.0239	0.0	1.2124	0.9844	-1.2666	-0.1813	0.1813	0.2358	-1.5511	0.0	0.0	0.1726	0.7849	-1.6978	0.0	0.7141	-1.62602	0.96969	0.64807	-1.99904	-0.64807	0.0	0.0	0.43074	0.01228	-0.19889	-0.26599	0.46488	-0.93963	-0.81114	0.0	0.039145	0.51029	
8	Maize_Spring_China_Heilongjiang	1.417	-0.28565	0.0	0.0727	-0.0907	-0.0044	0.0	0.3516	0.0	-0.8488	0.3874	0.1799	-0.5676	-0.0433	0.1369	0.312	-0.3951	-0.6634	0.3529	0.1635	-0.0369	0.0	-0.3938	0.0239	0.5201	-0.6586	0.4714	0.0256	-0.0256	-0.1772	0.1317	-0.1317	0.0	0.3548	0.4527	-0.3548	0.3958	-0.242	0.19137	0.05063	-0.24197	-0.54761	0.37305	-0.26495	-0.27921	0.3867	0.0	-0.98415	0.28129	-0.28129	0.0	0.2691	-0.13455	0.07151	
9	Maize_Summer_China_Hebei	-0.1019	0.05095	0.0109	-0.1708	0.0	0.0	0.1512	0.0744	-0.0744	-0.1011	0.254	0.1035	-0.3257	-0.0268	0.4318	0.0	0.0	-0.3598	0.0	0.0	0.0	0.0	0.0471	-0.0471	0.0	0.2694	0.0	-0.169	0.0	0.0	0.0	0.2088	-0.2088	0.0	0.43611	0.53811	0.0	-0.43851	0.43851	-0.0769	-0.07222	0.08098	-0.15004	0.0	0.0	0.0	0.0	0.00079	0.1093	-0.04865	-0.06144	0.0	0.00435	0.07125	
