"Country","Region","Temp_sens","Precip_sens","Month","Temp_sens_scaled","Precip_sens_scaled","T_clim","P_clim","fr"
"China","Zhejiang",NA,NA,"Jan",NA,NA,4.47050980999,61.4302215783,NA
"China","Zhejiang",-0.00248825063803239,-0.000444725622655307,"Feb",-0.0139205962472586,-0.00204836561540979,5.87225460877,86.3905095897,0.166666666666667
"China","Zhejiang",0.0685179628389223,-0.00119463554781404,"Mar",0.383325892410719,-0.00550238226544719,9.72442442642,133.80072414,0.333333333333333
"China","Zhejiang",-0.0201729436160958,-0.00085628696449127,"Apr",-0.11285816585601,-0.00394397958119675,15.3902876675,134.798878039,0.5
"China","Zhejiang",0.134124161282376,-0.00276094162355052,"May",0.750361827573195,-0.0127166450497454,20.1048228968,156.396731189,0.666666666666667
"China","Zhejiang",0.116676161286204,-0.000800566643378809,"Jun",0.652748444276349,-0.00368733686930421,23.8173186052,237.857886306,0.833333333333333
"China","Zhejiang",0.0757564772826023,-0.000647602592089474,"Jul",0.423821988527507,-0.00298279841437084,27.7155704509,178.215533298,1
"China","Zhejiang",NA,NA,"Aug",NA,NA,27.0272796967,199.322625277,NA
"China","Zhejiang",NA,NA,"Sep",NA,NA,23.3357547203,114.162938228,NA
"China","Zhejiang",NA,NA,"Oct",NA,NA,18.3909678181,74.6325082002,NA
"China","Zhejiang",NA,NA,"Nov",NA,NA,12.7808479549,70.5730820414,NA
"China","Zhejiang",NA,NA,"Dec",NA,NA,6.65353035433,48.3779166862,NA
"China","Fujian",NA,NA,"Jan",NA,NA,10.3092198814,55.6403475975,NA
"China","Fujian",0.00549929342490542,-0.000230995863367965,"Feb",0.122273981710604,-0.00465070716919323,11.5585142289,98.5591365415,0.166666666666667
"China","Fujian",-0.0110825021534946,-0.000176507797477304,"Mar",-0.246413777356757,-0.00355368302781497,14.5211184687,154.741222771,0.333333333333333
"China","Fujian",-0.010703189048559,-0.00021771814307074,"Apr",-0.237979944121847,-0.00438338294928509,18.9998117442,191.244207696,0.5
"China","Fujian",-0.00470536694975817,0.000104284263945743,"May",-0.104621431864459,0.00209958553757273,22.5320383718,228.858003228,0.666666666666667
"China","Fujian",0.0213483730576182,0.000120679858934363,"Jun",0.474670175804131,0.00242968283907851,25.5409610713,255.126895141,0.833333333333333
"China","Fujian",-0.0203475169162793,-0.000430149965568274,"Jul",-0.452416650475442,-0.00866033486283645,27.8458689859,174.948734208,1
"China","Fujian",NA,NA,"Aug",NA,NA,27.417250711,197.429654513,NA
"China","Fujian",NA,NA,"Sep",NA,NA,25.2228003304,117.68801449,NA
"China","Fujian",NA,NA,"Oct",NA,NA,21.4939747935,57.7300121936,NA
"China","Fujian",NA,NA,"Nov",NA,NA,16.8728268776,63.2078397197,NA
"China","Fujian",NA,NA,"Dec",NA,NA,12.0192767453,44.0969420202,NA
"China","Jiangxi",NA,NA,"Jan",NA,NA,5.47199236107,70.5270803128,NA
"China","Jiangxi",-0.0178869017680343,-0.0022753614534531,"Feb",-0.104301164190237,-0.0106013669577208,7.56000576409,107.910293158,0.166666666666667
