	Region	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
0	Soybean_China_Jilin																					-0.1309	0.04355	-0.0871	0.0	0.2791	0.0	-0.17951	0.1818	0.0	-0.553	0.2882	-0.0606	-0.2652	0.0	0.0472	0.0	0.0259	-0.11924	0.19333	0.0	-0.19333	0.0	0.18015	0.60393	-0.18015	-0.31218	0.57518	-0.22256	0.0	-0.10735	0.11899	0.00035	-0.32545	0.1774	-0.0267		
1	Soybean_China_Heilongjiang																					0.1329	-0.16665	-0.1329	0.0	0.17071	-0.15091	0.10276	0.0	0.028	-0.304	0.0	-0.0881	0.0162	-0.0162	0.141	-0.141	0.0794	0.48686	-0.1127	0.26589	-0.23898	-0.16287	0.24395	-0.11942	0.02177	0.11942	-0.00052	-0.43449	0.00052	-0.06029	0.0	0.10125	0.03352	-0.13119	0.04725		
2	Soybean_China_Liaoning																					-0.1339	0.04465	-0.0893	0.31189	0.15725	-0.15834	0.15834	0.0	-0.0412	-0.5583	0.1107	0.0	-0.1683	0.02	0.0778	-0.02	0.0794	-0.27418	0.29967	0.03987	-0.07392	-0.03987	0.10332	0.35638	-0.10332	-0.60232	0.49037	0.0	0.23882	-0.6264	-0.12987	0.1092	0.22434	-0.0546	-0.3751		
3	Soybean_Brazil_MatoGrosso																		0.084	-0.077	-0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.07	-0.1	0.0	-0.23	0.0	0.0	0.05	0.04	-0.09	-0.03	0.0	0.0	0.0	0.0	0.06	0.015	-0.008	-0.066	0.008	-0.243	0.0	0.13	0.0	-0.115	0.108	0.061	-0.12	-0.0305	0.067	
4	Soybean_Brazil_Goias																		0.0	-0.531	0.299	0.062	-0.341	0.0	0.1	-0.21	0.0	-0.01	0.043	0.0	0.1	-0.5	0.1	0.1	-0.1	0.0	-0.29	0.0	0.0	0.0	0.0	0.1	-0.1	0.05	0.23	-0.234	0.0	-0.054	0.0	0.122	0.0	-0.122	0.175	0.155	0.0	-0.0325	-0.306	
5	Soybean_Brazil_MatoGrossodoSul																		-0.955	-0.2635	0.0	0.0	0.0	0.0	0.115	0.0	0.06	-0.41	-0.01	0.12	0.13	-0.47	0.18	-0.1	-0.11	0.0	0.0	0.21	0.08	-0.32	0.1	-0.34	0.19	0.0	0.15	-0.43	-0.378	0.0	0.374	0.0	-0.374	0.461	0.057	-0.35	-0.02	0.01	0.22	
6	Soybean_Brazil_Parana																		0.368	-0.566	-0.368	0.3	0.12	-0.17	0.06	-0.07	0.0	-0.85	0.07	0.12	0.0	0.0	-0.16	-0.1	0.0	0.0	0.0	0.09	0.0	-0.08	0.159	-0.272	0.173	0.0	0.129	0.0	-0.21	-0.128	0.573	0.0	-0.658	0.148	0.221	-0.686	0.054	-0.172	0.0	
7	Soybean_Brazil_RioGrandedoSul																		0.373	-0.077	-0.489	0.154	0.195	-0.278	-0.057	0.057	0.055	-0.515	0.03	-0.56	0.1	0.1	-1.08	0.15	0.08	-0.15	0.24	-0.23	0.0	0.48	-0.13	-0.055	0.69	0.0	0.975	-0.305	-1.262	0.0	0.522	-0.042	-0.48	0.5	0.275	-1.05	0.0	-0.0545	0.121	
8	Soybean_USA_Iowa	-0.1345	0.033625	-0.06725	0.1345	0.0	-0.168125	0.06725	-0.1345	0.0	0.0	0.0	0.0	0.235375	0.0	-0.4035	0.0	-0.20175	0.0	0.0	0.0	0.06725	0.168125	0.0	-0.100875	-0.33625	0.0	0.235375	0.302625	-0.706125	-0.100875	0.06725	0.0	0.168125	-0.87425	0.437125	0.0	-0.1345	0.100875	0.235375	0.0	-0.06725	0.0	0.269	-1.042375	0.0	0.1345	0.0	0.06725	-0.302625	0.0	0.0	0.033625	-0.4035	-0.20175	0.4035		
9	Soybean_USA_Illinois	-0.168125	0.0	0.0	0.06725	-0.235375	0.0	-0.168125	0.0	0.033625	0.168125	-0.1345	0.0	0.20175	-0.100875	-0.571625	0.20175	-0.033625	0.1345	0.0	0.06725	-0.302625	0.0	0.33625	-0.571625	-0.47075	0.302625	0.1345	-0.1345	-0.807	0.1345	0.0	-0.168125	0.0	0.0	0.168125	-0.269	-0.168125	0.06725	0.06725	-0.1345	0.0	0.1345	-0.06725	-0.538	0.235375	0.0	0.06725	-0.20175	0.0	-0.06725	0.302625	0.0	-0.47075	0.0840625	0.4035		
