"Country","Region","Temp_sens","Precip_sens","Month","Temp_sens_scaled","Precip_sens_scaled","T_clim","P_clim","fr"
"USA","NorthDakota",NA,NA,"Jan",NA,NA,-11.146051091,3.54197655232,NA
"USA","NorthDakota",NA,NA,"Feb",NA,NA,-8.23114161358,4.3994852762,NA
"USA","NorthDakota",NA,NA,"Mar",NA,NA,-1.68811512045,14.580401577,NA
"USA","NorthDakota",0.0426697033876253,-0.00108033490731288,"Apr",0.155407088871427,-0.00516471936447638,6.67570257289,30.6517997564,0.166666666666667
"USA","NorthDakota",0.000723084963092347,-0.000669660560237309,"May",0.00263354371367564,-0.00320142285477596,13.1862021849,68.8913854085,0.333333333333333
"USA","NorthDakota",-0.0906494935889836,0.00425602176628041,"Jun",-0.33015401532926,0.0203466146313972,18.2393613443,93.8413072555,0.5
"USA","NorthDakota",-0.105216497961113,-0.000478692025151758,"Jul",-0.383208420757972,-0.00228846624799996,21.4231774716,71.914808472,0.666666666666667
"USA","NorthDakota",0.0130648538336779,-0.00592476036675677,"Aug",0.0475834313254544,-0.0283242949838412,20.7429003689,59.354680618,0.833333333333333
"USA","NorthDakota",0.0242004487892662,0.00103100303904075,"Sep",0.0881403196445142,0.00492888022457057,15.2964490113,47.2407656314,1
"USA","NorthDakota",NA,NA,"Oct",NA,NA,7.83898354716,38.3367165892,NA
"USA","NorthDakota",NA,NA,"Nov",NA,NA,-1.47672740604,9.68507313158,NA
"USA","NorthDakota",NA,NA,"Dec",NA,NA,-9.20851358251,4.22262194115,NA
"USA","SouthDakota",NA,NA,"Jan",NA,NA,-7.42327533134,3.36265188117,NA
"USA","SouthDakota",NA,NA,"Feb",NA,NA,-4.83503082281,6.05874496855,NA
"USA","SouthDakota",NA,NA,"Mar",NA,NA,1.36870634931,21.5155325166,NA
"USA","SouthDakota",0.0428226598867731,-0.00240508025991754,"Apr",0.153310537217762,-0.0115224031002024,8.6888830523,52.2177369903,0.166666666666667
"USA","SouthDakota",-0.00576952613292027,0.00109115503121582,"May",-0.0206556330986608,0.00522757112268415,15.0877064192,84.2237792966,0.333333333333333
"USA","SouthDakota",-0.0579708568022721,0.00451921271259421,"Jun",-0.207542997628586,0.0216509159539878,20.3716663614,101.949715807,0.5
"USA","SouthDakota",-0.155935490174049,0.000850796217447081,"Jul",-0.558268772493573,0.00407604566755242,23.6159960776,77.2892018264,0.666666666666667
"USA","SouthDakota",0.0548366836053794,-0.00171022236008955,"Aug",0.196322261274991,-0.00819343609955325,22.5077145312,69.6287661617,0.833333333333333
"USA","SouthDakota",0.0190613266698737,0.00130039940048728,"Sep",0.068241959737401,0.00623003162654943,17.6307604133,57.5994678064,1
"USA","SouthDakota",NA,NA,"Oct",NA,NA,10.210162769,46.9980847547,NA
