	Region	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
0	Wheat_Spring_USA_NorthDakota										-0.4	0.22	0.1	0.0	-0.33	0.03	-0.03	-0.03	0.27	0.0	-0.64	0.06	0.2	-0.26	0.21	0.41	0.0	0.0	-1.07	-0.47	0.34	0.0	0.7	0.0	0.0	-0.26	0.1	-0.34	0.0	-0.13	0.3	0.0	-0.57	0.37	0.47	-0.13	-0.34	0.0	0.0	0.5	0.0	-0.98	0.0	0.0	0.06	0.07	-0.1
1	Wheat_Spring_USA_SouthDakota										-0.26	0.3	0.06	0.0	-0.2	0.0	-0.47	0.23	0.0	0.0	-0.27	0.0	0.0	0.0	0.47	0.2	-0.14	0.14	-0.87	-0.34	0.27	0.0	0.41	-0.06	-0.13	0.0	0.61	-0.27	-0.2	0.0	0.21	0.06	-1.01	0.13	0.47	0.0	-0.67	-0.07	0.21	0.14	0.0	-0.74	-0.06	0.0	0.74	0.1	-0.2
2	Wheat_Spring_USA_Minnesota										-0.37	0.17	0.0	0.4	-0.24	-0.11	0.0	0.44	0.0	0.0	-0.16	0.2	0.0	-0.2	0.54	0.94	-0.27	0.2	-1.01	0.0	0.74	-0.48	1.28	0.0	-0.27	0.0	0.67	-0.54	0.0	-0.07	0.54	0.0	-1.01	0.94	0.54	-0.47	-0.07	0.0	0.21	0.0	0.0	-0.61	0.13	0.0	-0.13	0.14	0.0
3	Wheat_Spring_USA_Montana										0.0	-0.015	0.2	-0.14	-0.43	0.23	0.27	-0.23	0.44	-0.13	-0.24	0.0	0.33	0.07	-0.64	-1.08	0.64	0.27	-0.87	0.0	-0.2	0.21	0.0	0.2	-0.06	0.33	-0.27	0.0	0.2	0.0	0.0	0.0	-0.07	-0.07	0.6	0.6	-0.13	-0.06	0.0	0.0	0.48	-0.14	-0.13	0.27	0.0	-0.305	0.07
4	Wheat_Spring_USA_Idaho										-0.47	0.035	0.0	0.13	-0.27	0.0	0.2	-0.2	0.0	0.0	0.47	-0.47	0.2	0.74	0.0	-0.74	0.0	0.67	0.0	-0.4	0.0	0.0	0.34	0.27	-0.4	0.07	-0.34	0.0	0.0	0.13	0.0	0.0	-0.2	-0.13	0.47	0.0	0.07	-0.27	-0.07	0.0	0.13	0.47	-0.07	0.07	0.0	-0.435	0.74
5	Wheat_Spring_USA_Washington										-0.4	0.2	0.41	-0.4	-0.41	0.07	0.13	-0.07	0.0	-0.2	0.4	-0.67	0.0	0.33	0.47	-0.53	-0.47	0.6	0.47	0.0	-0.06	-0.13	0.06	0.68	-0.4	0.0	0.0	0.54	-0.06	-0.07	0.67	-0.13	0.0	-0.13	0.4	-0.13	0.27	0.06	-0.27	-0.06	0.0	0.47	0.0	0.34	-0.87	-0.575	0.87
6	Wheat_Spring_Argentina_BuenosAires																					0.0	-0.4	0.3	0.0	0.45	-0.26	0.02	-0.06	-0.02	0.1	-0.1	0.01	0.23	-0.01	0.0	-0.23	0.11	0.52	-0.14	-0.09	0.36	0.0	-0.61	0.22	0.08	-0.22	0.32	0.0	-0.63	0.0	0.94	0.45	-0.33	0.0	-0.175	0.1
7	Wheat_Spring_Argentina_Cordoba																					0.0	-0.24	0.0	0.02	0.65	-0.02	-0.45	0.24	0.13	-0.55	-0.13	0.39	0.28	-0.05	0.05	-0.15	0.0	-0.09	0.0	0.36	0.0	0.0	-0.41	0.0	0.0	0.07	-0.27	1.31	-0.26	-1.36	0.49	0.01	0.0	-1.08	0.07	0.0
8	Wheat_Spring_Argentina_SantaFe																					-0.12	-0.065	0.14	0.0	0.43	-0.33	-0.17	0.43	0.0	-0.39	0.0	0.19	0.52	-0.13	0.0	-0.1	0.08	-0.27	0.34	0.75	0.0	-0.27	-0.15	0.09	-0.09	0.31	0.0	0.34	-1.56	-0.34	0.98	0.38	0.0	-0.67	-0.01	0.35
9	Wheat_Spring_Australia_WesternAustralia																					-0.28	0.085	0.04	-0.17	0.26	-0.13	0.0	-0.09	0.2	-0.09	0.0	-0.03	0.13	0.11	-0.33	0.0	0.0	0.03	0.0	0.17	-0.48	0.0	-0.77	0.47	0.0	0.23	-0.41	-0.25	0.45	0.0	-0.54	0.52	-0.38	0.1	0.0	
10	Wheat_Spring_Australia_NewSouthWales																					0.0	0.39	-1.06	0.51	0.0	0.0	-0.05	0.0	0.16	-0.01	0.13	-0.45	0.2	0.63	-1.5	-0.07	0.61	-0.06	-0.07	0.37	0.0	0.19	-1.0	0.0	0.0	0.49	-0.9	-0.72	0.27	-0.27	0.64	0.08	0.0	-0.085	0.0	
11	Wheat_Spring_Australia_SouthAustralia																					0.0	0.025	-0.7	0.42	0.0	-0.14	0.16	-0.08	-0.5	0.27	-0.25	-0.02	0.06	0.03	-0.67	0.0	0.0	0.05	0.01	-0.48	0.23	0.63	-0.72	0.0	0.0	0.57	-0.46	-0.05	0.0	0.0	0.65	0.0	-0.47	0.1	0.04	
12	Wheat_Spring_Australia_Victoria																					0.0	0.05	-1.45	0.62	0.0	-0.29	0.23	0.0	-0.02	0.24	-0.18	-0.33	0.72	0.34	-1.21	0.0	0.6	-0.39	-0.6	0.0	0.56	0.23	-1.51	0.02	0.0	0.76	-0.67	0.0	-0.18	0.0	0.31	0.15	-0.06	0.03	-0.39	
13	Wheat_Spring_Canada_Manitoba																		0.38	-0.19	-0.63	0.28	0.2	-0.28	-0.11	0.57	0.11	0.0	-0.8	0.0	0.5	0.0	0.6	-0.4	0.0	0.0	0.4	-0.3	0.0	0.0	0.3	-0.3	-0.3	0.5	0.2	-0.5	0.0	-0.2	0.4	0.5	-0.3	-0.5	0.0	0.5	0.0	-0.05	0.1
14	Wheat_Spring_Canada_Saskatchewan																		0.43	-0.245	-0.31	0.05	0.26	0.0	-0.35	-0.16	0.45	0.25	-1.0	-0.3	0.2	0.1	-0.1	0.1	0.0	0.0	0.4	-0.1	-0.2	0.4	0.2	-0.1	-0.4	0.0	0.1	0.4	-0.1	-0.5	0.0	0.2	0.0	0.0	-0.2	0.6	0.0	-0.2	0.2
15	Wheat_Spring_Canada_Alberta																		-0.02	-0.145	0.07	0.06	-0.02	0.02	-0.48	-0.23	0.4	-0.1	-0.1	0.0	0.2	0.2	-0.2	0.2	-0.4	0.0	0.1	-0.1	-0.1	0.2	0.1	-0.2	-0.8	0.0	0.2	0.3	-0.2	-0.2	0.3	-0.3	-0.1	0.1	-0.1	0.6	0.0	-0.4	0.2
16	Wheat_Winter_USA_Kansas										-0.03	0.035	0.0	0.24	-0.17	0.0	0.07	-0.1	0.0	0.54	0.0	-0.67	0.0	0.23	0.03	0.0	-0.27	0.2	0.0	-0.68	0.4	-0.07	-0.06	0.06	0.27	-0.6	-0.61	0.0	0.21	0.07	-0.2	0.0	-0.27	0.54	0.0	0.2	-0.34	-0.47	0.0	0.13	0.21	-0.47	0.26	0.07	-0.68	-0.035	1.34
17	Wheat_Winter_USA_Nebraska										0.0	0.295	0.0	0.0	0.0	-0.14	0.0	0.2	-0.14	-0.06	0.21	0.0	-0.07	0.47	-0.14	0.0	0.0	0.4	-0.14	-0.6	0.41	0.0	-0.27	0.06	-0.06	0.41	-0.14	-0.27	0.6	0.74	-0.07	0.0	-0.27	0.6	0.0	0.0	-0.2	0.0	0.07	0.27	-0.07	0.14	-0.13	-0.41	0.54	-0.37	0.33
18	Wheat_Winter_USA_Colorado										0.04	0.115	-0.07	0.0	0.07	0.0	-0.06	-0.03	0.0	0.0	0.3	-0.03	-0.27	0.3	0.0	0.1	-0.17	0.3	0.0	-0.47	0.14	0.0	-0.06	0.41	-0.13	0.41	0.0	-0.41	0.47	0.67	-0.27	0.0	-0.47	0.53	0.21	-0.21	-0.41	0.54	-0.54	0.07	0.4	0.0	-0.41	-0.81	0.07	-0.035	0.67
19	Wheat_Winter_USA_Ohio										-0.4	0.2	0.27	-0.67	0.0	0.06	-0.07	0.34	-0.54	0.07	0.34	-0.27	-0.07	0.34	-0.13	0.87	-0.27	0.47	-0.07	0.0	0.61	-0.2	0.0	-0.06	0.34	0.2	-1.48	0.0	0.0	0.2	0.33	-0.06	-0.34	0.06	-0.4	0.2	0.06	-0.47	0.0	0.67	-0.41	-0.74	0.0	0.14	0.27	-0.335	0.4
20	Wheat_Winter_USA_SouthDakota										-0.6	0.135	0.27	0.0	-0.2	0.2	-0.54	0.0	0.27	-0.4	-0.27	0.0	0.0	0.54	0.2	-0.34	0.0	0.34	-1.01	-0.54	0.54	0.0	-0.47	0.27	-0.2	0.14	0.0	-0.47	0.07	0.34	0.0	-0.67	-0.8	0.0	0.14	0.0	-0.61	0.13	0.61	-0.33	0.0	0.0	0.06	-0.34	0.34	-0.37	0.2
21	Wheat_Winter_USA_Washington										-0.2	0.23	0.2	-0.88	-0.3	0.57	0.06	-0.74	0.0	-0.14	0.2	0.33	-0.53	0.54	0.87	-0.6	-0.53	0.27	0.34	-0.34	0.34	0.0	-0.47	0.47	-0.54	-0.2	0.34	0.07	-0.07	-0.47	0.81	0.0	-0.47	0.0	0.14	0.14	0.0	0.0	-0.4	-0.27	0.0	0.34	0.07	0.0	-1.14	-0.435	1.48
22	Wheat_Winter_USA_Idaho										0.0	0.37	0.0	0.0	-0.06	0.0	0.2	-0.2	0.47	-0.61	0.0	0.07	-0.07	0.61	0.14	-0.68	-0.14	0.6	-0.27	0.0	0.33	0.0	-0.47	0.47	-0.27	-0.2	0.0	0.0	0.13	-0.27	0.87	-0.27	-0.2	0.0	0.67	0.74	0.0	-0.27	-0.14	0.0	0.06	0.07	-0.13	0.27	-0.13	-0.135	0.81
23	Wheat_Winter_USA_Montana										0.0	0.2	0.0	-0.2	0.0	0.37	0.07	-0.13	0.13	-0.24	-0.37	0.0	0.21	0.0	-0.33	-1.07	0.33	0.27	-1.07	0.0	0.0	0.27	-0.4	0.13	0.0	0.13	-0.48	0.0	0.06	0.0	0.0	-0.74	-0.34	0.0	0.0	0.27	0.13	-0.06	0.0	-0.13	0.68	0.0	-0.14	0.13	0.0	-0.065	0.54
