	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Maize_Spring_USA_Ohio	52.7617769073	50.0457583375	76.796623452	98.2204265314	116.476742995	104.450713334	108.432234289	91.3338397051	83.7341652111	78.038003756	81.7548929941	68.7921759031
Maize_Spring_USA_Minnesota	7.01737613854	8.55466746882	32.4346703085	74.9047769216	97.9573326833	120.396072813	103.540148696	108.179273227	84.8774271939	61.8171742515	28.888944257	11.4909663642
Maize_Summer_China_Henan	10.941580386	18.1282379421	34.3626429156	47.226726701	78.3485337794	97.3481010854	186.891395478	147.476387062	78.2048100369	48.6218498516	30.0258768217	9.34371411189
Maize_Spring_China_Liaoning	0.700592022347	1.91866874632	8.14069156386	29.8872553809	48.3404778487	90.4308232306	179.457812404	138.929663759	49.3456320541	31.2445135639	11.1360529873	2.17971139702
Maize_Summer_China_Shandong	5.88661997925	10.7011222902	17.8881076864	34.6471671983	60.5140111462	84.2990447798	192.553820413	153.303092008	63.6672480031	34.5386040392	20.9660991557	7.6425900106
Maize_Spring_USA_Illinois	39.311173203	40.5447192043	72.1664285989	104.157911466	122.487175539	115.325049446	101.626312339	96.8522352253	88.5139452472	82.4921266062	84.3225084394	56.2442407408
Maize_Spring_USA_Indiana	54.51547345	50.9663149034	81.0359184204	106.495403812	126.852434587	112.202063007	107.939666244	93.8227787976	87.7494076502	86.4925152441	89.7634207996	70.1713059858
Maize_Summer_China_Shanxi	0.559318989239	2.6096546661	11.2983550889	21.8411222954	41.8494330728	62.4263015973	117.259387365	114.150798514	63.6909886134	33.3824859518	12.3942151572	1.13361014019
Maize_Spring_USA_Nebraska	7.09114042936	11.5629995936	40.7698524131	77.1139127254	109.008308185	117.617110377	90.0109766374	95.0868348416	76.7354914071	55.9516737376	27.6261017596	13.6309524991
Maize_Spring_USA_Iowa	12.3890730071	16.0213029966	48.0486407065	94.2989290117	118.81326277	124.363009843	108.79729071	107.308398515	88.8677466895	68.1851331431	45.7132144829	23.084986166
Maize_Summer_China_Hebei	0.735006264887	3.00568292241	7.27711041674	22.519998033	43.183476118	71.1737734442	153.707546469	120.287760052	48.5144271969	27.2628181551	11.1288803086	1.80517849512
Maize_Spring_China_Heilongjiang	0.119443725231	0.29834054954	4.0276497636	22.627170696	43.1121216041	87.1479813571	159.817611317	112.971976108	50.5925180109	21.6871267828	3.05256082372	0.325399541684
Maize_Spring_China_Jilin	0.399315158416	1.02788100963	6.93481745284	28.2661758515	48.3761570088	95.0781255077	180.781579547	124.882317431	47.8351196037	26.6509031259	7.38525701468	1.11946606173
Maize_Summer_China_Shaanxi	3.42876633567	7.47105097964	25.6164027135	49.5610874724	79.9551088757	98.9203205662	144.597072527	127.213041885	116.354361991	63.2940097341	25.438514779	5.21738729166
