	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Rice_Mid_China_Heilongjiang	0.14877239048	0.397696399897	4.50678582847	24.8995289886	59.090768771	91.1037397761	152.768283957	125.75155148	57.0214740102	28.4678997696	4.65453207463	0.59274392383
Rice_Late_China_Jiangxi	70.5270803128	107.910293158	182.306598593	204.766952876	221.305404433	272.865795145	156.739341914	138.439555711	79.771684836	69.5883419868	75.1775873522	49.0883862624
Rice_Mid_China_Anhui	37.2611156311	57.2517890131	91.1393501909	101.645903807	123.739859141	184.906051876	237.015686661	163.858852076	81.225841253	64.8526422637	59.3968164335	30.514422591
Rice_Late_China_Guangxi	43.8232231458	63.6921005545	93.9003525885	151.697527754	226.809103204	263.543492651	239.072905065	216.263368017	132.659916609	72.0560647173	54.8643243912	35.127311335
Rice_Mid_China_Jilin	0.512807405206	1.21498100549	7.81980165721	31.7550156673	56.1301515605	102.120125368	195.782317875	134.655445495	52.0315572163	29.8139428853	9.30238388066	1.42732488578
Rice_Early_China_Guangdong	45.5376517783	80.8403864802	122.605125036	211.377510736	305.982308297	337.196974757	246.203803655	280.184317675	181.38972955	69.5906845101	48.5002761866	36.624697918
Rice_Late_China_Zhejiang	61.4302215783	86.3905095897	133.80072414	134.798878039	156.396731189	237.857886306	178.215533298	199.322625277	114.162938228	74.6325082002	70.5730820414	48.3779166862
Rice_Mid_China_Liaoning	1.13680569857	2.86142420502	10.2137356455	34.0839662827	51.8297940091	91.2062865208	190.016465913	154.443526071	55.1693700063	36.832952804	15.4648720167	3.44789691701
Rice_Early_China_Jiangxi	70.5270803128	107.910293158	182.306598593	204.766952876	221.305404433	272.865795145	156.739341914	138.439555711	79.771684836	69.5883419868	75.1775873522	49.0883862624
Rice_Late_China_Fujian	55.6403475975	98.5591365415	154.741222771	191.244207696	228.858003228	255.126895141	174.948734208	197.429654513	117.68801449	57.7300121936	63.2078397197	44.0969420202
Rice_Mid_China_Chongqing	17.4561645082	22.3637779251	46.0614220053	90.6384150174	137.79765674	176.728511244	198.787826772	148.949213783	124.883222551	91.3560088147	46.9189412137	22.8169371107
Rice_Early_China_Guangxi	43.8232231458	63.6921005545	93.9003525885	151.697527754	226.809103204	263.543492651	239.072905065	216.263368017	132.659916609	72.0560647173	54.8643243912	35.127311335
Rice_Early_China_Fujian	55.6403475975	98.5591365415	154.741222771	191.244207696	228.858003228	255.126895141	174.948734208	197.429654513	117.68801449	57.7300121936	63.2078397197	44.0969420202
Rice_Late_China_Hunan	55.9832408225	86.3741123544	126.496651965	160.087419547	194.549230287	203.173978352	160.225857607	129.145229096	75.7874290799	76.7923358222	73.6457675321	40.8237001136
Rice_Mid_China_Jiangsu	36.4397108691	49.9316819605	70.3140483048	78.8462314382	99.2910896234	161.593734528	231.804869855	189.607888647	88.2781654582	56.4666012676	53.896793574	29.1054096224
Rice_Early_China_Zhejiang	61.4302215783	86.3905095897	133.80072414	134.798878039	156.396731189	237.857886306	178.215533298	199.322625277	114.162938228	74.6325082002	70.5730820414	48.3779166862
Rice_Early_China_Hunan	55.9832408225	86.3741123544	126.496651965	160.087419547	194.549230287	203.173978352	160.225857607	129.145229096	75.7874290799	76.7923358222	73.6457675321	40.8237001136
Rice_Mid_China_Hunan	55.9832408225	86.3741123544	126.496651965	160.087419547	194.549230287	203.173978352	160.225857607	129.145229096	75.7874290799	76.7923358222	73.6457675321	40.8237001136
Rice_Mid_China_Sichuan	10.9719565622	15.9874953261	31.3750031557	64.4884706675	104.951106396	152.888274957	199.61797034	173.598972837	133.347033638	71.7549716048	30.5333140413	13.3478417244
Rice_Mid_China_Hubei	41.0163288316	61.431789197	105.890681588	131.990499338	166.613198497	199.787750855	189.27785712	144.771832533	81.713965439	78.2356922768	65.1330468923	30.0682593883
Rice_Late_China_Guangdong	45.5376517783	80.8403864802	122.605125036	211.377510736	305.982308297	337.196974757	246.203803655	280.184317675	181.38972955	69.5906845101	48.5002761866	36.624697918
