	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Wheat_Spring_USA_SouthDakota	3.36265188117	6.05874496855	21.5155325166	52.2177369903	84.2237792966	101.949715807	77.2892018264	69.6287661617	57.5994678064	46.9980847547	11.7978105998	4.42435907505
Wheat_Winter_France_All	79.3991136721	61.9064098539	62.0992592142	64.558187396	74.9573401278	64.4457574599	65.0249465949	58.7176619589	64.6964857654	87.3794712087	84.9212153731	87.56959078
Wheat_Spring_USA_Idaho	11.1913745819	11.0038375111	17.8923546245	26.0019215597	44.6514419698	41.9704209598	23.608851472	24.3888424632	27.4868920031	26.9357166639	19.0705764164	12.709954415
Wheat_Winter_USA_Idaho	43.9449536203	37.9572564916	50.5188194836	50.0207444537	62.1564900419	57.6081645093	23.5871794082	25.4192422364	36.2832012447	48.2100093365	69.5370643326	51.679144418
Wheat_Winter_Germany_All	47.7291720162	36.2777175743	50.0713755407	46.7609216946	72.0788332041	81.7286169162	88.1818682509	78.7925749914	65.635898892	60.8776997852	54.6679148046	55.8122514898
Wheat_Netherlands_All	75.3598133172	53.9945068262	64.9136014799	45.1510150801	61.5911944082	72.0005253565	81.690711042	75.6847996931	71.5347617299	82.8368065505	74.5727802617	80.8238048124
Wheat_Winter_China_Hebei	1.09388836434	3.79288817605	10.012767613	23.2958083169	45.7679964324	67.1073891821	156.373936267	131.707679954	53.7431426882	30.0130850461	13.2288398767	2.07900222757
Wheat_Winter_USA_Nebraska	3.35262337739	6.08088693237	22.7644365126	46.9196876713	83.37450359	85.0502098605	76.5644472369	68.6465939189	42.0103734714	33.361497321	11.345042189	4.58654745454
Wheat_Spring_Canada_Alberta	3.71793203723	3.04092663496	9.35756915597	22.8711615282	48.9741907531	86.7347778954	66.6747120578	51.0201716471	41.5588673726	16.1404956923	7.53101422986	4.08409267721
Wheat_Winter_USA_Ohio	47.5414473662	44.6166746493	68.9071808453	96.3434482975	113.047687321	103.174296148	106.432608546	89.8149251426	85.8991579814	76.0237172881	79.6009987222	62.8233209382
Wheat_Winter_USA_Washington	32.6432670928	26.7122922927	36.1240379964	34.1831938417	40.5707257837	32.3819405666	13.7305338011	15.030028501	19.3473767302	29.4537202365	47.4376189264	39.034203331
Wheat_Winter_USA_Kansas	8.80110123421	14.431021261	42.2425355038	58.5239567259	95.1189450785	100.164423032	80.3960067362	83.4092115999	58.4742672567	51.6075481825	24.7430962406	14.6358612168
Wheat_Spring_Argentina_SantaFe	119.490571355	120.512875558	144.215330498	111.805393404	57.9358816396	29.2459341043	26.1483336307	29.4404634869	54.3823295109	114.931826278	119.069369875	132.893339296
Wheat_Spring_Australia_Victoria	25.2053672048	21.8383860491	24.1531327203	23.9778948777	33.9968277595	37.0405833717	41.5627546852	42.3908647466	36.8560945554	35.6193816154	32.509605897	32.1249417334
Wheat_Winter_USA_Colorado	2.44773479052	4.53980329805	17.4665370325	35.651587406	70.0264672691	66.6765976349	67.3791245526	58.9960815571	33.1016469629	23.2748972403	8.14970655146	2.81099043715
Wheat_Winter_China_Shandong	6.0197851931	10.8851179626	18.6086397533	34.8119996465	61.1989522288	83.8762935752	192.118587218	153.727693462	64.6725866003	35.0048642102	21.196032051	7.72914521361
Wheat_Winter_USA_Montana	3.65553267426	3.57130145628	9.93613799002	22.9597515716	58.8991454821	72.2213517952	40.8166088496	36.9561619831	34.1539937734	18.6941103765	8.13726242827	4.56158484476
Wheat_Russia_All	12.3980197135	9.68274349039	16.5730793975	30.0596582631	42.0775925791	57.7358332729	59.9104156792	47.1653746999	45.1062134091	39.8125075718	27.1119960169	18.2505790373
Wheat_Winter_China_Henan	11.4464860699	18.849764136	35.624011129	49.2976197102	79.997563054	98.6469460319	183.262573817	146.37896718	77.947885752	49.3179137722	30.7344776615	9.37962829633
Wheat_Spring_Canada_Manitoba	4.37920372045	5.19702125141	16.090030504	26.1308453842	56.7921074353	93.1414634428	77.6812834502	70.390649099	56.0137118258	40.1901717325	12.1311894483	5.3436997787
Wheat_Spring_USA_NorthDakota	3.54197655232	4.3994852762	14.580401577	30.6517997564	68.8913854085	93.8413072555	71.914808472	59.354680618	47.2407656314	38.3367165892	9.68507313158	4.22262194115
Wheat_Belgium_All	83.4393061328	62.1800570295	70.4728328149	53.8156356691	69.4993565314	76.8316851029	82.4254669765	76.2951528453	71.5301790161	87.8214910895	81.7130723654	90.366824638
Wheat_Spring_Australia_WesternAustralia	17.4016273507	18.4101715945	20.636552586	26.1686173726	53.0693645701	64.7736651035	68.1033305867	54.5302966661	37.7660115209	22.8260046856	20.7388838407	14.5196047752
Wheat_Spring_Australia_NewSouthWales	55.9242159784	50.9351206242	43.4684745504	34.029007195	44.3366758371	41.4674383252	45.8261979721	39.0975805618	38.5001433986	44.8643536271	51.7953689276	52.4089333718
Wheat_Poland_All	30.6743775911	23.6726777388	35.2931121858	39.2886106994	62.6819312281	76.4989488019	90.0352215298	73.4349592728	56.5495286809	45.3053520166	42.008862559	37.0773747418
Wheat_Spring_Argentina_Cordoba	121.782005723	112.637360426	131.039933091	86.7773076496	39.4611186377	15.6629878971	15.5468279669	17.9788901843	42.253858466	96.150846297	112.648054445	135.516253188
Wheat_Spring_Australia_SouthAustralia	16.5917288276	16.563968765	18.842348677	23.8634332412	34.7869898855	47.2807610232	46.754631497	43.3048628787	36.5253610369	31.387444437	23.5738678677	24.824085192
Wheat_Denmark_All	64.9869318978	47.0515445948	51.1219705348	38.7677679729	53.6491139716	71.3211949766	72.8109640247	86.7425574127	84.3922269719	101.166302473	75.1153939622	69.4994336291
Wheat_Spring_Canada_Saskatchewan	3.80109249083	3.25655556322	10.0772735382	21.2187037153	49.4865837878	78.9721536541	69.4771111971	48.3617241234	37.8483048176	21.4819711903	7.86339593075	4.62302420676
Wheat_Winter_USA_Texas	14.5934555135	19.2841842181	36.8600339546	40.1097146967	77.2723679836	81.5223416242	59.8362594049	68.5656998828	63.7799704622	52.1314215733	24.7422502091	19.5231080035
Wheat_Winter_UK_All	78.1148406691	56.5509785321	59.1273144279	55.5095281705	56.4596453141	63.3610364082	59.5756684614	66.6333266699	63.4765418827	89.6978163755	83.474619576	81.0644853322
Wheat_Winter_USA_SouthDakota	3.39789096832	6.30219248342	22.1683646617	54.1998146328	85.2419640851	102.427147007	77.4374677799	70.1694378056	57.9404307636	46.9338195218	12.0976395573	4.56006408353
Wheat_Spring_USA_Montana	3.19051688162	2.86811267628	9.07845128759	21.8053698726	57.3575249668	70.9309130306	45.7164178179	39.8522810541	31.8877768212	18.9726490401	6.61149275833	3.79196671595
Wheat_Spring_USA_Minnesota	4.32823998842	6.05706442084	19.7985380692	38.5595020111	79.1319098962	113.056576991	88.8453279576	82.058959521	70.4182279128	54.0108591456	15.3458201321	5.98048994712
Wheat_Winter_China_Jiangsu	26.2112316275	38.8693551767	55.3206662767	66.7515471556	91.0798975558	141.808539202	241.650903589	174.353524252	79.8332874872	51.6482928878	46.6034752866	21.8864151465
Wheat_Spring_Argentina_BuenosAires	86.8557413456	92.6221693594	106.405819804	81.8352953683	60.8313115446	42.1678605242	47.919267783	40.0746604608	59.0630074203	87.2708596257	88.4345136283	84.4423523241
Wheat_Winter_China_Anhui	23.7446670993	36.7857993923	56.9742404393	67.8535807055	97.2297270571	141.419201313	237.049441315	162.375192193	76.7459532642	56.0005023985	45.0520822282	19.8179146591
Wheat_Ireland_All	125.372554078	98.0632957657	91.4505204535	75.3063432708	79.8462458189	77.0391997227	78.6520943312	89.1426092362	95.1175728343	131.652875064	123.642780087	125.565497833
Wheat_Spring_USA_Washington	32.6432670928	26.7122922927	36.1240379964	34.1831938417	40.5707257837	32.3819405666	13.7305338011	15.030028501	19.3473767302	29.4537202365	47.4376189264	39.034203331
Wheat_Winter_USA_Oklahoma	23.3119672653	31.030514982	64.282514209	71.5530899312	117.776859934	111.965461113	65.8725111637	77.5682502178	84.3561027116	79.1440642118	43.9581298382	33.0985056346
