	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Maize_Spring_USA_Ohio	-2.07137019788	-0.41719776292	4.64230198331	11.019270932	16.55656829	21.3415516267	23.5280942755	22.5377849572	18.6663264275	12.3486976552	6.29504858917	0.336915444724
Maize_Spring_USA_Minnesota	-8.74941716167	-6.07383296661	0.654439552508	8.56984559635	15.323615193	20.465007811	22.7803503238	21.4195767337	17.0350879575	9.99654627075	1.43129809327	-6.5804193796
Maize_Summer_China_Henan	1.15479261673	3.57754340258	8.90666433249	15.5869425151	20.8231923133	25.362552822	27.1624662106	26.0519104123	21.5471241831	16.1487385952	9.17149251176	3.09178595093
Maize_Spring_China_Liaoning	-12.1002531737	-7.58875947573	0.248221059581	9.1787360386	16.0661262512	20.9183952084	23.6129064736	22.6302982122	16.871221055	9.19369681558	-0.654138142533	-9.17657396592
Maize_Summer_China_Shandong	-0.658903349272	1.82758212936	7.40407334477	14.3907256879	20.0043643008	24.4817130412	26.6019017132	25.7825748298	21.4777506127	15.8366868147	8.05521696829	1.48407453388
Maize_Spring_USA_Illinois	-2.59346092217	-0.359544025884	5.62967059671	12.0307824091	17.6830702684	22.6407775892	24.706824245	23.6464445912	19.4891986837	13.226610049	6.33789389769	-0.409052054434
Maize_Spring_USA_Indiana	-1.89694539394	0.0741528435328	5.48194261108	11.7510059792	17.3375007784	22.201465865	24.2444371109	23.2384107161	19.2900012969	12.9646309936	6.68028138035	0.421378837116
Maize_Summer_China_Shanxi	-5.83362580947	-2.34867883114	3.90569604437	11.0849319753	16.8104126077	20.8961844921	22.8578337339	21.361877948	16.458445536	10.2943256671	2.61957576953	-3.84495829065
Maize_Spring_USA_Nebraska	-3.62667349517	-1.34069943201	4.73065014851	11.0729865082	16.9340940881	22.2327455813	24.8779165596	23.7168451973	19.2362548368	12.4103691412	4.46605476026	-2.38382654371
Maize_Spring_USA_Iowa	-5.34423804213	-2.93968099422	3.71027127562	10.5844892539	16.7014390813	21.8263381121	24.0670297273	22.8180483332	18.5223166483	11.8786215611	3.9964692676	-3.50983752093
Maize_Summer_China_Hebei	-4.50539483824	-1.19485241641	5.31103341842	12.9150185407	19.0532733121	23.4011541865	25.4847595739	24.3178097047	19.4982995772	13.0174982995	4.56185331764	-2.14506436848
Maize_Spring_China_Heilongjiang	-19.4443117923	-14.5665766654	-4.89807269142	6.11112273295	13.4475591615	19.5014710514	22.2047071052	20.6811537998	14.1144941328	5.43264829294	-6.34180481376	-16.4006891769
Maize_Spring_China_Jilin	-15.9166574437	-11.0178729113	-2.0198016991	7.88893971258	14.9944126079	20.4290698268	23.1161099174	21.9211206596	15.6252151505	7.52090672946	-3.16132738691	-12.6502911475
Maize_Summer_China_Shaanxi	-0.26597052843	2.02591347727	6.77675090355	12.8659845832	17.3722524297	21.2343674636	23.4032975502	22.4808831604	17.7618082251	12.3212933881	6.19366721408	1.21742904008
