	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Rice_Mid_China_Heilongjiang	-19.8392402269	-15.1527956105	-5.95005915325	5.21213876276	12.1833159421	18.0600615259	21.1063669264	19.8175890752	13.2498502594	4.76168968756	-6.83392191732	-16.773779966
Rice_Late_China_Jiangxi	5.47199236107	7.56000576409	11.4592740209	17.6717428974	22.1942879223	25.4606811952	28.5760254874	27.9164405073	24.4496316667	19.4062887056	13.4477109964	7.6648629113
Rice_Mid_China_Anhui	2.83340975825	4.78876846969	9.32595025198	15.7372964393	20.8409063123	24.6406224068	27.7308612873	27.0420441473	22.8209339521	17.5556444946	11.1561955714	4.98790278363
Rice_Late_China_Guangxi	11.4083773367	12.8393146371	16.3042790373	21.1965830017	24.7586864705	27.1025314793	28.2069471882	27.8368415519	26.1606368984	22.6908970291	18.025256061	13.2887476491
Rice_Mid_China_Jilin	-16.773285539	-11.85500628	-2.51114722909	7.4791269518	14.430537657	19.8468691701	22.6404791688	21.5544473278	15.179391219	7.11262243699	-3.47002207317	-13.2298988351
Rice_Early_China_Guangdong	12.4930016256	13.7007591182	16.8789693063	21.2978149712	24.8123727513	27.154924239	28.2504447537	27.9746315882	26.4107503401	23.3665259042	18.8317782386	14.1827035591
Rice_Late_China_Zhejiang	4.47050980999	5.87225460877	9.72442442642	15.3902876675	20.1048228968	23.8173186052	27.7155704509	27.0272796967	23.3357547203	18.3909678181	12.7808479549	6.65353035433
Rice_Mid_China_Liaoning	-10.5465863355	-6.19765354248	1.25599158304	9.71869564317	16.3900773428	21.0814666977	23.8739069915	23.153259527	17.6886405733	10.1397329949	0.687886022322	-7.60761577862
Rice_Early_China_Jiangxi	5.47199236107	7.56000576409	11.4592740209	17.6717428974	22.1942879223	25.4606811952	28.5760254874	27.9164405073	24.4496316667	19.4062887056	13.4477109964	7.6648629113
Rice_Late_China_Fujian	10.3092198814	11.5585142289	14.5211184687	18.9998117442	22.5320383718	25.5409610713	27.8458689859	27.417250711	25.2228003304	21.4939747935	16.8728268776	12.0192767453
Rice_Mid_China_Chongqing	5.56491467234	7.42653686679	11.4521504588	16.6434335706	20.6182569858	23.3903690441	26.1633103293	25.9646738196	21.9613912126	16.8242784666	12.0479338456	7.16630955045
Rice_Early_China_Guangxi	11.4083773367	12.8393146371	16.3042790373	21.1965830017	24.7586864705	27.1025314793	28.2069471882	27.8368415519	26.1606368984	22.6908970291	18.025256061	13.2887476491
Rice_Early_China_Fujian	10.3092198814	11.5585142289	14.5211184687	18.9998117442	22.5320383718	25.5409610713	27.8458689859	27.417250711	25.2228003304	21.4939747935	16.8728268776	12.0192767453
Rice_Late_China_Hunan	4.71890282078	6.59210147592	10.6794984814	16.9356029109	21.6115663568	25.1797179781	28.2117788733	27.4253224948	23.4727044887	18.2159674623	12.5461594766	7.00894927142
Rice_Mid_China_Jiangsu	2.77341649854	4.42161660095	8.68811221304	14.6833088022	19.9312808129	24.029350867	27.5338163163	27.0656633195	23.0640905365	17.8362672639	11.4399627615	4.96735863615
Rice_Early_China_Zhejiang	4.47050980999	5.87225460877	9.72442442642	15.3902876675	20.1048228968	23.8173186052	27.7155704509	27.0272796967	23.3357547203	18.3909678181	12.7808479549	6.65353035433
Rice_Early_China_Hunan	4.71890282078	6.59210147592	10.6794984814	16.9356029109	21.6115663568	25.1797179781	28.2117788733	27.4253224948	23.4727044887	18.2159674623	12.5461594766	7.00894927142
Rice_Mid_China_Hunan	4.71890282078	6.59210147592	10.6794984814	16.9356029109	21.6115663568	25.1797179781	28.2117788733	27.4253224948	23.4727044887	18.2159674623	12.5461594766	7.00894927142
Rice_Mid_China_Sichuan	5.37094177148	7.34938579766	11.2163134686	16.1977621887	20.1912638404	22.779660854	25.031603766	24.8164513679	20.9000358603	16.1404877825	11.4492586288	6.72705508998
Rice_Mid_China_Hubei	4.09554321193	6.18385715517	10.5365404185	16.8835004155	21.7651595487	25.3047497616	28.3010588975	27.5500479035	23.4751160631	18.0750272044	12.0442514948	6.26209953394
Rice_Late_China_Guangdong	12.4930016256	13.7007591182	16.8789693063	21.2978149712	24.8123727513	27.154924239	28.2504447537	27.9746315882	26.4107503401	23.3665259042	18.8317782386	14.1827035591
