	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Soybean_USA_Illinois	-1.82129673776	0.417641250176	6.28026772884	12.5570254596	18.1201292177	23.0310684581	25.0256202245	23.9994608697	19.874627313	13.6377875059	6.8837670082	0.288294177746
Soybean_USA_Minnesota	-9.22451840871	-6.45114056548	0.348365778886	8.37378013099	15.2455565077	20.3813373478	22.7349808602	21.3943105389	16.9637978802	9.80506152153	1.03230555921	-7.06831914898
Soybean_USA_Iowa	-5.79534037407	-3.38064705359	3.32158409872	10.2980657478	16.5178916794	21.6767003164	23.8887232404	22.6140059535	18.3318273386	11.6129793896	3.60428779391	-3.99114440903
Soybean_USA_Missouri	-1.05218674101	1.29718057393	7.39375708168	13.348030544	18.5918378836	23.4886149445	25.9602917158	25.0454995748	20.5659672278	14.3452364595	7.37268063391	0.624117869034
Soybean_China_Heilongjiang	-20.5052616165	-15.7126701437	-6.30306978724	5.04874175951	12.2398466591	18.301107381	21.160115317	19.6849163055	13.0709748503	4.40845820218	-7.63886697666	-17.6540825471
Soybean_Brazil_Goias	25.2479514505	25.4717818268	25.3950496752	25.0093623809	23.8536270298	22.7709927851	22.888574544	24.4056775723	25.6343227758	26.1888575246	25.501455772	25.233630566
Soybean_USA_Indiana	-2.28906508478	-0.346329523674	5.12237609868	11.4631092707	17.1140303927	22.0268319035	24.0633016802	23.0272560608	19.0823721511	12.7372858688	6.40628635978	0.0802324760337
Soybean_Argentina_SantaFe	24.6966129656	23.7263091312	21.8800699511	18.3863342973	15.1552102677	12.2876394159	11.3267331314	13.4764308029	15.4406665394	18.5463882733	21.2073609782	23.6092513351
Soybean_China_Jilin	-16.827691113	-11.9801449011	-2.80758867171	7.2144857339	14.1504566981	19.5809494097	22.4045268012	21.331605846	14.9552620224	6.89619728631	-3.73249432568	-13.3869088491
Soybean_Brazil_MatoGrossodoSul	26.4953524486	26.4513342962	25.8091776366	24.4139523807	21.8577354881	20.3910462491	20.4549635476	22.0820673683	23.1992950142	25.0366702571	25.665171647	26.1405121473
Soybean_Argentina_Cordoba	24.3399912744	23.1964218702	21.3137238444	17.9635845672	14.4501440273	11.4592110986	10.4935124963	12.7912232077	15.1980662579	18.5953168845	21.1289855599	23.5591739937
Soybean_USA_NorthDakota	-12.1745131438	-9.02916152183	-1.94638714876	7.04562213323	14.0718998232	19.0623169899	21.6967655243	20.7920618053	15.8144445331	8.3246225894	-1.29994286404	-9.61540632801
Soybean_Argentina_BuenosAires	23.8248218311	22.6991344819	20.7720862068	17.1267139846	13.7863364861	10.774164845	9.98994360604	11.9788177599	13.9324599305	16.9364908609	19.8960825963	22.5127652375
Soybean_China_Liaoning	-11.8921703734	-7.37957538554	0.428997158803	9.08753454684	15.7463037267	20.5335603349	23.3798939394	22.6168416302	16.9138449399	9.38101838443	-0.24994903067	-8.86195147223
Soybean_Brazil_MatoGrosso	26.6418223247	26.7612654443	26.5477588417	26.9427933353	25.7244735758	24.6321981609	24.844572642	26.0928012196	26.8512843437	27.3539254529	27.0768377409	26.882618172
Soybean_Brazil_RioGrandedoSul	24.8377899781	24.6378503692	23.5653323496	20.8172370726	17.4461907232	15.5363757037	15.0521391587	16.9025806842	17.808334506	20.6362969647	22.2509724356	23.8682332861
Soybean_USA_SouthDakota	-8.19403880046	-5.48925283435	0.999632245548	8.68172894588	15.2347056076	20.4442528451	23.3424826036	22.1338166038	17.4603294934	10.108297688	1.1925248047	-6.45403496982
Soybean_USA_Ohio	-2.07137019788	-0.41719776292	4.64230198331	11.019270932	16.55656829	21.3415516267	23.5280942755	22.5377849572	18.6663264275	12.3486976552	6.29504858917	0.336915444724
Soybean_Brazil_Parana	24.2687479429	24.5339904787	23.5333496589	21.5534256215	18.2931865154	16.7713974233	16.9987034926	18.1162381819	19.5008674818	21.5619482703	22.450899369	23.7775311612
