	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Wheat_Spring_USA_SouthDakota	-7.42327533134	-4.83503082281	1.36870634931	8.6888830523	15.0877064192	20.3716663614	23.6159960776	22.5077145312	17.6307604133	10.210162769	1.40967643043	-5.95053054405
Wheat_Winter_France_All	4.49017954041	5.15799901684	7.88981058949	10.1449207666	13.7481727961	16.774547467	19.0363548445	19.0023581361	16.2721918111	12.6804934269	7.86669674316	5.12545078011
Wheat_Spring_USA_Idaho	-4.79021160405	-3.30837744896	1.15439621063	5.06603487929	9.47098740162	13.6283640058	17.7548730707	17.4048273673	13.2529302108	7.35340688435	0.292705531226	-4.45537781807
Wheat_Winter_USA_Idaho	-1.3210609416	0.379602047253	4.10811562775	7.48221208673	11.4253331513	15.0784502631	19.53134338	19.5340614353	15.1394918829	8.49297631673	1.83911573795	-2.04903028718
Wheat_Winter_Germany_All	0.205192887788	1.02487262515	4.75702416627	8.77418195254	12.8268386784	15.5857565901	17.9868983269	17.9402983599	14.2911584382	9.69583539293	4.65199112662	1.30821162602
Wheat_Netherlands_All	2.99359876885	3.45125123725	6.35150237647	9.16878313267	12.9523392739	15.3770038838	17.8186975357	17.8994439517	14.8249036393	11.0173654527	6.73308717621	3.96528965279
Wheat_Winter_China_Hebei	-2.85608704715	0.246862925976	6.52841043187	13.8489457913	19.6444108106	24.1620343904	25.8549728384	24.5414124094	19.9093829736	13.8015716698	5.68675631819	-0.68426885965
Wheat_Winter_USA_Nebraska	-0.751597167436	0.967743600223	5.74691642567	10.426751703	15.7708094915	21.4441705697	24.6284531211	23.622015401	19.0018673588	12.1343874556	5.01481450808	-0.502320333538
Wheat_Spring_Canada_Alberta	-9.5482139849	-7.31233870224	-2.10533710517	5.07168560275	10.3677701701	14.2799521349	17.2526295391	16.7917499301	12.3197260789	5.85777521983	-3.03424581133	-8.72720129976
Wheat_Winter_USA_Ohio	-2.87443398013	-1.29096608728	3.86561694179	10.418611547	16.2123210535	21.1531747913	23.3056107862	22.2142742674	18.3475999371	12.0148815999	5.82226821174	-0.350993344356
Wheat_Winter_USA_Washington	-0.185226560716	1.98672737511	5.9922458825	9.4416662397	13.3881916272	16.9166624663	21.0876783859	21.0125547943	16.6916294851	10.0455292846	3.67571495503	-0.763315217776
Wheat_Winter_USA_Kansas	1.30432649713	3.33706062032	8.38615591327	13.5128483748	18.6964206244	24.1974095672	26.9561553714	26.0947474924	21.5750037414	14.9181970404	7.71063587109	1.84228062645
Wheat_Spring_Argentina_SantaFe	24.6469425754	23.6956708411	21.8693546384	18.3872162989	15.1610777632	12.2809114131	11.3397250386	13.4718435275	15.4321078652	18.5395171582	21.1748462793	23.5710702176
Wheat_Spring_Australia_Victoria	23.2848675624	23.0118657618	20.12703085	16.4159443133	13.0976930025	10.3972523587	9.68531463314	10.9501050181	13.222562363	15.9100456814	19.0381790316	21.1856323821
Wheat_Winter_USA_Colorado	0.238538810825	1.91816200159	6.50526269523	10.8338754251	16.0527804402	21.7278419773	24.7578684423	23.7971324107	19.298924628	12.5096271826	5.63857630144	0.314874450475
Wheat_Winter_China_Shandong	-0.483904496597	1.99276415465	7.54936335577	14.4909889066	20.0627032937	24.5583443618	26.6300202531	25.7824985883	21.4825684762	15.888393568	8.17236933296	1.63559089842
Wheat_Winter_USA_Montana	-5.64886261715	-3.85617796869	0.888031123757	6.15978364696	10.9080318039	15.0976755877	19.1383494421	18.7618581042	13.9690218516	7.56330229425	-0.0907776146307	-5.40375485822
Wheat_Russia_All	-10.7124453937	-10.453067171	-3.85884505608	6.84261704378	13.9196104277	18.6645093006	20.674716348	18.9854722699	13.2529349912	6.08562392677	-2.50503541179	-8.34120412841
Wheat_Winter_China_Henan	1.04372524305	3.49084583485	8.8188783888	15.5016167821	20.7150192975	25.1959733332	27.0154233096	25.8874521377	21.4004640996	15.9870075662	9.03687468659	2.99711393406
Wheat_Spring_Canada_Manitoba	-15.5816322662	-12.3916249366	-5.39776070188	4.46336860142	11.6438682869	16.7783204635	19.3563395296	18.5467152799	13.260916427	5.67379196077	-4.20465603069	-13.0875101768
Wheat_Spring_USA_NorthDakota	-11.146051091	-8.23114161358	-1.68811512045	6.67570257289	13.1862021849	18.2393613443	21.4231774716	20.7429003689	15.2964490113	7.83898354716	-1.47672740604	-9.20851358251
Wheat_Belgium_All	3.00675437968	3.5516605066	6.53103392964	9.28295451931	13.0363871629	15.7075710717	18.0377516474	18.0404088328	14.9453021423	11.145049445	6.69382513756	3.90287428593
Wheat_Spring_Australia_WesternAustralia	25.2685789524	25.1456401768	23.0537314672	19.5867675363	15.6575815322	12.6128251921	11.4318623358	12.4267052331	14.5579977	17.403835659	20.5807782054	23.1395076903
Wheat_Spring_Australia_NewSouthWales	25.7116640522	25.1240501866	22.0491746778	17.7428466483	13.740992452	10.5909575771	9.68561981155	11.108630729	14.3321848219	17.8225172955	21.1700818005	23.6286873096
Wheat_Poland_All	-1.436937239	-0.214258767987	3.6514492883	8.19943679869	13.0728308811	15.5499792554	18.1328273893	17.9611235234	13.7729653713	9.22775535577	3.78889549282	0.080377208547
Wheat_Spring_Argentina_Cordoba	24.3679124513	23.3112117191	21.5023286942	18.228266575	14.7861844352	11.8086585128	10.8189704951	13.0700385125	15.3165508668	18.6387666964	21.1751099029	23.5818503048
Wheat_Spring_Australia_SouthAustralia	23.2742581565	22.9848337912	20.5775538558	17.5500101661	14.4017382977	11.7540727059	11.0054447565	12.1123033862	14.3352152599	16.8266763557	19.6722643822	21.3707768813
Wheat_Denmark_All	0.506458438815	0.657095572959	3.18537636062	7.27999228936	11.4135144731	14.3055122343	17.0052249535	16.8899009006	13.5890361681	9.39039261373	5.02156610198	1.76014392415
Wheat_Spring_Canada_Saskatchewan	-13.3089662106	-10.6440534933	-3.9862299877	5.04128284109	11.3708518501	16.0333386752	18.8690154273	18.3237919868	13.0392004955	5.62170037398	-4.18540142411	-11.832028907
Wheat_Winter_USA_Texas	5.87290170525	7.82783091939	12.1390817108	16.6738598857	21.4163563699	25.9738354826	27.8559800778	27.2655454561	23.2878651196	17.5627285201	11.1625708865	6.10399500142
Wheat_Winter_UK_All	4.16413098884	4.47862517535	6.42974948371	8.44000256197	11.5453396893	14.2789022647	16.6502558355	16.6226297039	14.2958746214	10.9194585302	7.14040466211	4.57491540433
Wheat_Winter_USA_SouthDakota	-6.9790161944	-4.43631119789	1.69444547385	8.87258632746	15.2276066128	20.5462037971	23.8114739327	22.6846457852	17.8328311734	10.4211539873	1.69502798741	-5.59341984502
Wheat_Spring_USA_Montana	-7.21913973782	-4.98132041575	0.621688998991	6.77781052527	11.9295225411	16.4904433138	20.4975594412	20.1009191738	14.7237223196	7.89570016764	-0.385623523865	-6.57986255458
Wheat_Spring_USA_Minnesota	-12.6760069018	-9.44867191763	-2.27196895826	6.75495819323	13.8544531398	18.8260741164	21.2381484949	20.2576064944	15.4212826757	8.08153298684	-1.43715811516	-9.88398298692
Wheat_Winter_China_Jiangsu	2.01091202723	3.91778319557	8.55391154106	14.8847104869	20.2067863165	24.3215777526	27.3864543031	26.860972628	22.6706045252	17.3279977483	10.5817389911	4.15037674399
Wheat_Spring_Argentina_BuenosAires	22.6720709312	21.6704086943	19.586143278	15.633684067	12.102893255	9.12508444186	8.40905617725	10.1151588746	12.132158063	15.1821035458	18.200597223	21.0374215709
Wheat_Winter_China_Anhui	2.08916976973	4.22555826695	9.14423551055	15.7028279146	20.9504944141	25.0762672376	27.6728714689	26.9201480674	22.5733907271	17.2296719385	10.4375078844	4.16493750576
Wheat_Ireland_All	5.57928058465	5.91546383606	7.06620454449	8.66357968026	10.9230176301	13.4943588678	15.4036238069	15.0735221242	13.4066991769	10.5677972927	7.70033634586	6.16294598728
Wheat_Spring_USA_Washington	-0.185226560716	1.98672737511	5.9922458825	9.4416662397	13.3881916272	16.9166624663	21.0876783859	21.0125547943	16.6916294851	10.0455292846	3.67571495503	-0.763315217776
Wheat_Winter_USA_Oklahoma	5.25826897909	7.54556439492	12.2813304013	17.0565427021	21.7986345743	26.4362025753	28.8754552913	28.447447391	24.0576138589	18.0237178563	11.3328799271	5.76959747998
