Region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Maize_Spring_USA_Nebraska,3.20076,3.26352,3.79698,3.57732,3.38904,4.3932,5.0208,4.64424,4.64424,5.89944,4.76976,5.3346,6.52704,5.89944,4.3932,5.3346,5.3346,6.21324,7.09188,7.2174,5.3346,7.2174,6.9036,6.08772,7.28016,8.03328,8.03328,8.22156,7.78224,7.59396,8.03328,7.97052,8.4726,6.52704,8.72364,6.96636,8.97468,8.28432,9.1002,8.72364,7.90776,9.22572,8.03328,9.16296,10.41816,9.66504,9.53952,10.0416,10.22988,11.23404,10.41816,10.0416,8.91192,10.60644,11.23404
Maize_Spring_USA_Iowa,3.98526,4.73838,4.83252,5.0208,4.8639,5.14632,5.58564,5.55426,5.83668,6.21324,5.39736,6.40152,7.28016,6.71532,5.0208,5.6484,5.71116,5.39736,7.2174,7.97052,6.9036,7.845,7.5312,5.46012,7.02912,7.90776,8.4726,8.1588,5.27184,7.40568,7.90776,7.34292,9.22572,5.0208,9.53952,7.71948,8.66088,8.66088,9.1002,9.35124,9.03744,9.16296,10.22988,9.85332,11.35956,10.85748,10.41816,10.73196,10.73196,11.35956,10.3554,10.79472,8.59812,10.29264,11.17128
Maize_Spring_USA_Illinois,4.26768,4.95804,5.3346,5.46012,5.0208,5.89944,5.14632,6.52704,5.6484,6.40152,4.64424,6.65256,6.9036,6.46428,5.14632,7.28016,6.71532,6.5898,6.96636,7.97052,5.83668,7.90776,8.22156,4.95804,7.15464,8.4726,8.4726,8.28432,4.58148,7.71948,7.97052,6.71532,9.35124,8.1588,9.79056,7.09188,8.53536,8.09604,8.84916,8.7864,9.47676,9.53952,8.4726,10.29264,11.2968,8.97468,10.22988,10.983,11.23404,10.92024,9.85332,9.85332,6.5898,11.17128,12.552
Maize_Spring_USA_Indiana,4.26768,4.64424,5.14632,5.46012,4.51872,5.89944,5.0208,5.39736,5.52288,6.276,4.76976,6.33876,6.52704,6.40152,4.58148,6.15048,6.9036,6.40152,6.77808,7.02912,6.02496,6.77808,7.90776,4.58148,7.34292,7.71948,7.65672,8.4726,5.20908,8.34708,8.09604,5.77392,9.22572,8.28432,9.03744,7.09188,7.71948,7.65672,8.59812,8.28432,9.16296,9.79056,7.59396,9.16296,10.54368,9.66504,9.85332,9.66504,10.0416,10.73196,9.85332,9.16296,6.21324,11.10852,11.79888
Maize_Spring_USA_Minnesota,3.38904,4.04802,3.73422,4.33044,3.64008,3.82836,4.76976,4.51872,5.14632,5.46012,5.3346,5.20908,5.83668,5.83668,3.89112,4.3932,3.70284,6.276,6.52704,6.276,6.08772,6.9036,7.09188,5.27184,6.71532,7.2174,7.65672,7.97052,4.64424,7.845,7.78224,7.5312,7.15464,4.3932,8.91192,7.46844,7.845,8.28432,9.60228,9.414,9.1002,8.1588,9.85332,9.16296,9.97884,10.92024,10.10436,9.16296,10.16712,10.92024,11.10852,9.7278,10.3554,9.97884,9.79056
Maize_Spring_USA_Ohio,4.26768,4.64424,4.76976,4.89528,4.0794,4.64424,5.27184,4.95804,5.39736,5.46012,4.95804,5.71116,5.77392,5.0208,4.707,5.83668,6.46428,6.5898,6.5898,7.2174,7.09188,6.02496,7.15464,5.0208,7.40568,7.97052,8.03328,7.5312,5.3346,7.34292,7.59396,6.02496,8.97468,6.9036,8.72364,7.59396,6.96636,8.40984,8.84916,7.90776,9.22572,8.66088,5.58564,9.79056,9.91608,8.97468,9.97884,9.414,8.22156,10.73196,10.0416,9.60228,7.5312,10.92024,11.04576
Maize_Spring_China_Jilin,1.0094,1.381,1.2444,1.2789,1.3721,1.3219,1.5522,1.6846,1.6095,1.3679,1.9495,2.1038,1.6731,2.4157,2.6704,2.8469,2.7026,2.3922,3.0868,3.3436,3.0145,3.4003,3.6718,5.4871,5.9521,4.722,5.1079,5.8034,6.2372,4.9492,6.893,6.1404,5.9382,6.5944,6.854,6.3073,7.0665,5.13528,7.94904,7.12521,4.52009,5.09069,5.97015,6.14837,6.2382,6.48861,7.07155,6.3076,7.12742,6.12065,6.57754,7.46277,7.85173,7.9327,
Maize_Spring_China_Liaoning,1.0219,1.5179,1.6257,1.8455,1.9573,2.173,2.1901,2.3678,2.2542,2.1719,2.8482,2.7034,2.3711,2.9158,3.5719,3.7754,3.9084,3.6119,4.059,4.516,4.6145,4.5906,4.8289,6.0413,5.8133,3.7404,4.8257,5.007,5.2428,3.6917,5.8448,5.9917,6.1643,6.7766,4.4512,5.4349,6.149,4.24719,6.8429,5.87321,3.87417,5.22514,5.99329,6.32245,6.75319,6.33473,6.10914,5.84315,6.30803,4.90352,5.49689,6.37262,6.45091,6.9612,
Maize_Spring_China_Heilongjiang,2.7328,1.0665,1.3158,1.3885,1.2934,1.3841,1.8792,2.2308,1.9862,1.382,2.3736,2.5535,1.9426,2.5102,2.6471,2.8222,2.252,2.1588,3.1156,2.9631,2.7627,2.7996,2.4058,2.8235,3.3436,2.6119,3.7419,3.2705,3.2449,3.0933,4.6495,4.5178,4.8146,5.3838,5.8365,5.029,5.4248,4.5815,4.8235,4.63213,4.39016,3.84255,4.68367,4.04567,4.31062,4.69732,4.58983,3.71317,5.06965,4.78836,5.32097,5.83289,5.56379,5.9044,
Maize_Summer_China_Hebei,1.0176,1.1195,1.1304,0.9596,1.231,1.3251,1.9069,1.8301,1.7557,1.729,2.122,2.2255,1.868,2.1937,2.6523,2.2205,2.2761,1.9163,2.3097,2.7229,2.8322,2.8332,3.4968,3.4497,3.5232,3.8806,3.6125,3.6112,3.7802,3.8758,4.0631,4.4078,4.199,4.5338,5.0637,5.1657,4.62759,4.16143,4.59994,4.08453,4.01231,4.16551,4.01547,4.31359,4.40049,4.45892,4.81737,4.96685,5.07615,4.96606,5.01471,5.40105,5.40975,5.481,
Maize_Summer_China_Shanxi,1.5734,1.65,1.9791,2.079,2.3846,1.7387,2.1517,2.126,2.0278,2.2421,2.4842,2.7555,2.2323,3.1433,3.1065,3.2612,3.1039,3.4537,3.4171,3.8227,3.5429,3.7643,3.7614,3.6506,3.8685,4.2208,3.3755,3.5254,4.3341,4.7569,4.7959,3.6724,4.6715,5.141,4.5485,5.2529,5.468,4.25543,5.36992,4.06702,4.46969,3.69919,4.88568,5.21001,5.61345,5.20503,5.28404,5.04034,4.95303,4.50838,4.94535,5.18974,5.41574,5.7212,
Maize_Summer_China_Shandong,0.7869,0.878,1.0725,1.28,1.3728,1.4807,1.9646,2.0912,1.7505,1.957,2.1633,2.1976,2.2343,2.3462,2.2378,2.7263,2.774,3.125,2.867,3.4173,3.8526,3.6079,3.9129,3.7508,4.7991,4.4919,4.5303,5.0559,4.5927,4.3089,4.6187,5.6322,4.9056,5.3377,5.4807,5.7257,5.67258,4.21057,5.58484,5.60442,6.07916,6.11668,5.20156,5.86486,6.10664,6.35346,6.15001,6.36417,6.56671,6.5865,6.53768,6.60466,6.60858,6.4271,
Maize_Summer_China_Henan,0.9762,0.6893,1.1,0.9454,1.3684,1.0881,1.4581,1.6016,1.6028,1.539,1.9271,1.8867,1.6795,2.0306,2.1251,2.1156,2.4025,2.7166,2.785,2.8186,3.1724,2.8322,2.7309,3.5628,3.4382,3.2295,2.3177,3.4961,3.2739,3.978,4.4123,4.0675,4.1063,4.839,4.0304,4.8929,4.829,4.13697,5.09281,5.27218,4.88328,5.23364,5.1285,3.21075,4.33864,5.1748,5.60315,5.69415,5.72695,5.6434,5.54919,5.60826,5.6379,5.6082,
Maize_Summer_China_Shaanxi,1.0638,0.8971,1.1728,1.1585,1.3309,1.3732,1.5184,1.3466,1.1669,1.6372,1.5939,1.6927,1.7773,2.071,2.2449,2.2587,2.2234,2.5523,2.6942,2.7719,2.554,2.0103,2.8601,3.05,3.2917,3.0662,2.8724,3.199,3.0085,3.181,3.2576,3.4747,3.4613,4.2474,2.6511,3.1275,4.34339,2.96321,4.51652,3.92021,3.91391,3.51034,3.74537,3.93546,3.88581,4.19014,4.03745,4.2801,4.17761,4.51976,4.50101,4.67567,4.85609,5.031,
Maize_Argentina_All,,1.7672,1.8936,1.6481,1.801,1.6785,2.1499,2.4663,1.9421,1.9291,2.3299,2.4422,1.862,2.7206,2.8399,2.5081,2.1169,3.278,3.6466,3.1071,2.5703,3.8008,3.0284,3.0303,3.1407,3.5629,3.745,3.1897,3.7744,2.9103,3.4608,4.0444,4.5237,4.3552,4.2371,4.5223,4.0397,4.5557,6.078,5.3702,5.4329,5.4553,6.0791,6.4767,6.3931,7.3587,5.903,7.6655,6.4525,5.576,7.804,6.3503,5.7346,6.6037,6.8409
Maize_Bulgaria_All,,2.2448,2.3903,2.6244,3.1264,2.2315,3.8431,3.4737,3.1736,4.1809,3.7387,3.8454,4.3176,4.1146,3.1078,4.3286,4.1459,3.5802,3.7215,4.8403,3.8586,4.2616,5.5047,5.2291,5.5288,3.1027,4.9599,3.737,3.1802,4.0221,2.8771,4.9551,2.8128,1.8609,2.8056,3.8237,2.181,3.5782,2.6827,3.8239,1.7239,2.4713,4.2364,2.8,5.54,5.3085,4.5328,1.4595,4.1548,4.7071,6.2516,5.5313,3.68,6.3943,7.6823
Maize_Canada_All,,4.5822,4.7721,4.1108,5.0636,5.0061,5.1615,5.311,5.3209,4.7131,5.2748,5.1625,4.7082,5.2881,4.4339,5.7405,5.3025,5.7729,5.2586,5.5386,5.6283,5.8573,5.8812,5.5177,5.8971,6.2043,5.9484,7.0197,5.471,6.3512,6.8602,6.7098,5.6927,6.4241,7.3748,7.2528,6.9141,6.8702,8.0054,7.9747,6.2844,6.6187,7.0128,7.8193,8.241,8.6035,8.4737,8.5108,9.0623,8.3723,9.7385,8.8946,9.2109,9.5878,9.3647
Maize_France_All,,2.5291,2.1489,4.0593,2.3546,3.98,4.5037,4.088,5.2643,4.8346,5.0994,5.4151,4.3531,5.6217,4.5587,4.184,4.0305,5.2382,5.2862,5.2195,5.3167,5.8291,6.3185,6.25,6.0201,6.576,6.1625,7.1502,7.2762,6.8719,6.0186,7.2771,7.9637,8.0449,7.7919,7.7172,8.3817,9.0592,8.4525,8.9483,9.0768,8.5638,8.9787,7.1165,8.9906,8.2539,8.7202,9.6727,9.2994,9.1009,8.8313,9.9732,9.0854,8.1592,10.05
Maize_Germany_All,,2.8979,3.2319,3.4526,3.3691,3.5354,4.0115,4.6993,4.8943,4.875,4.9743,5.0396,4.6595,5.3353,4.8195,5.5169,4.6782,5.8107,5.2868,6.4057,5.6435,6.4444,6.5717,5.5224,5.6516,6.6479,6.9549,6.26,7.7095,7.531,6.7762,6.8432,7.2348,8.0227,7.0786,7.3664,7.8254,8.6266,8.1561,8.785,9.2119,8.8377,9.3755,7.3845,9.125,9.2139,8.0307,9.4475,9.8099,9.75,8.7854,10.6243,10.4802,8.8276,10.6838
Maize_Netherlands_All,,3.8984,3.8052,4.2619,4,4.1667,4,3.7915,3.7037,4,4.1068,4.8802,3.3333,3.6667,5,5.3846,5.5556,7.3746,7.1429,3.3333,3.9216,3.1481,5.1546,6.3091,2.5575,11.4416,9.4787,8.5714,8.8889,10,9.0909,8.0357,8.0256,9.0962,7.4865,7.0444,8,5.0394,11,7.0188,11,8.8971,9.7046,8.3921,8.4821,8.8201,9.1529,11.9482,11.4163,12.9954,11.7673,12.3355,12.342,11.9446,13.7419
Maize_Poland_All,,2.7731,2.1591,2.1212,2.4324,2.029,2.3214,2.4138,2.4528,2.3404,2.3529,2.6531,2.8571,3.7143,4.0426,5.3323,4.4046,4.0516,3.6263,3.8998,3.5443,4.2048,4.1957,4.1362,3.827,4.2973,5.0706,4.6033,5.1073,4.7786,4.9126,4.8468,3.6699,5.316,3.7503,4.9586,5.0725,5.4026,5.8272,5.7506,6.0637,6.0683,6.1563,5.2862,5.6935,5.7329,4.1609,6.5743,5.8149,6.2262,5.7456,7.177,7.3481,6.5761,6.5881
