	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1980	12.4421455417	12.4262804986	73.3807064079	61.8955999837	8.83060840856	-70.2918898841	-14.5889195871	137.937534546	-37.3170014911	10.4372245347	-53.0513965515	-33.4560274813
1981	7.87944916245	-18.004851078	52.7441714607	93.5021220083	-46.6911538918	-108.277974064	-2.66610467361	-92.3577856103	17.0655739261	81.5662825333	73.6345296888	-41.7378434718
1982	-41.5631703535	64.7030160734	2.6862588987	-81.3414900242	-43.5421529594	79.9125971558	-62.2984975321	9.82075827157	21.7098375775	40.823960134	57.8014477236	-15.7201527739
1983	13.2237695449	41.1744894933	-34.6335929877	94.3083339456	43.8649185021	61.9178495509	20.1703483056	-46.2705141968	41.1935846972	49.3461737418	-56.8958707026	-16.7229663854
1984	-27.8620815619	-66.8273427502	-39.2650608544	85.8556304294	47.0623062976	-52.3529138855	-55.7399170179	32.1392119643	46.2716272653	-1.08798374054	-28.5390207935	17.5726094015
1985	-35.4448004312	76.5251268855	1.87164792001	-98.8096527141	-38.8227011756	-100.094502947	-30.0926432792	-2.98452681722	72.1375288849	-36.7339325368	-3.80429166729	-9.17920671917
1986	-47.6455966923	-44.1085594106	12.5622636625	44.9345055456	-131.890404596	18.5459010575	12.2652119719	-97.4220862578	-12.1219751398	14.4524455516	-23.9985222936	-29.4632272981
1987	-18.5441502705	-39.7294333457	24.0159240403	-17.2176978728	20.480209848	-97.9594500663	-3.62413493816	-35.6920570278	0.00411044465878	112.267928588	45.3216123324	-47.9017715374
1988	-16.2163388037	45.5521869194	2.14731248557	-71.8409332596	55.9091515004	-40.6335768012	-107.882582047	37.7346422115	69.5443884863	-42.0304218842	-69.8166074431	-37.5975749244
1989	76.4036299872	8.88479190043	-61.0009598836	50.2287173178	51.8348843785	-8.66471348467	32.709499169	-81.2088354914	18.7095671487	-4.55118309974	-33.8069610949	-19.4060426902
1990	28.1575248686	79.8993388354	-52.7696000294	-26.471345206	-53.0124138416	-21.0373334285	-78.5760628263	7.62358239249	35.9765131745	-0.144341919091	45.525205711	5.7571196925
1991	37.6391923641	-30.8701337803	144.337293411	1.41503341009	-31.3852808493	-103.715563343	-88.9828164154	8.10721009412	1.53976317544	-18.216253864	-8.38381062424	-15.4365916814
1992	-13.5518053168	19.16613597	210.843859926	-36.2448558356	59.28397445	-35.9967477175	39.0286345346	-61.1099861848	-49.8454111362	-57.1898261892	-45.7125062224	21.102277477
1993	-15.509198803	11.6769835531	-43.7587414666	-62.1567286354	25.5056055226	89.7797722615	180.535333296	69.1744439949	-44.6400717675	7.69015892972	66.6002797439	1.27124240417
1994	-11.1463171992	34.7729457426	-48.7923894138	80.9804155479	-27.3231586136	26.0858082765	-25.3839586948	28.469119359	84.6571307402	6.28087196951	-48.2882096095	78.5859647084
1995	12.3261436761	-30.70829352	-11.0927110535	77.2561288746	3.24266688776	255.205132193	-57.3411740951	-77.3997261531	-22.5659478275	17.8885061976	-60.5692331838	-32.3604410157
1996	38.3819649264	-71.3536294252	61.671204574	-70.0032926836	-26.2361862524	-33.7161647189	-22.8736277199	51.6334850349	-49.9439624899	-42.0475080456	-27.7890633165	-17.8607045994
1997	-18.117415491	-18.2230191646	-50.0553169216	-41.9848050209	-1.8588278968	-26.4050869348	54.0720879726	67.9229193281	-39.6571803595	-33.3019098574	-25.0893880769	64.6287560083
1998	31.9629865938	41.5220907468	95.1565507524	-55.6687018434	31.0926715283	153.2353437	203.19368695	-58.309993585	3.87090499927	75.5975376896	-36.9331442255	-21.5881711963
1999	14.2434015916	-91.5212595362	38.8127190374	101.462473237	91.1327622675	40.9883955364	119.223176851	205.305576457	-19.9917443	3.16673202759	-44.7265116478	-42.8038075284
2000	44.9695380968	-29.6586779749	-23.030293721	-9.97848190435	-103.4612799	9.16504771675	-56.8966986135	24.4931001553	-22.2039891157	70.9634046639	62.6180387081	-14.9451946403
2001	44.601080933	-7.80883311185	-59.4959917383	-4.5291312565	-106.055406763	-23.8579906	-47.7367618589	124.69609278	-52.175071808	-8.94811913054	16.5282237036	39.7142356584
2002	9.63141157528	-26.2087167701	-40.2442448908	113.228193536	31.0868997274	-75.8352265531	39.1499337547	-9.8000986845	8.96005023576	64.60513478	38.6921684462	95.9730785412
2003	-1.42977462326	11.7478622147	-33.2358521285	58.7646024461	18.6412724183	145.683491462	-48.3063374523	-71.6461169622	-31.2272417029	-34.3633025469	-3.65956390062	-29.4632375273
2004	-8.08861290165	2.80130570783	-80.3659741437	-71.8921741318	6.98854971646	-105.225504179	29.7496286147	51.8347975905	-26.298665997	-67.4868949393	-7.8487089749	-5.04993625292
