Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Rice_Mid_China_Beijing,,,,,,,,,,,,,,,,,,,,5.65134,4.36105,5.43478,5.85683,5.85586,5.73733,6.08479,6.23377,6.65738,6.59155,6.29738,6.52174,6.67722,7.01887,7.91304,7.2103,6.92641,6.81034,6.85567,6.71875,6.65718,6.32353,6.44444,6.27329,6.09756,5.75,6.23188,6.15385,6.81818,6.31579,6.33333,6.52174,6.44391,,
Rice_Mid_China_Tianjin,,,,,,,,,,,,,,,,,,,,4.82866,3.68732,4.7619,4.14938,5.6962,5.63107,6.09065,5.8867,5.65875,5.59596,6.1978,5.71924,7.02317,7.64423,7.93017,8.08732,7.6806,7.69578,8.30882,6.57938,4.09322,6.50919,7.51507,8.07143,8.10387,7.29341,7.32054,6.96864,6.99734,7.01809,7.0931,7.52809,7.65753,,
Rice_Mid_China_Hebei,,,,,,,,,,,,,,,,,,,,5.71232,5.39514,5.95145,6.51144,5.72956,6.10807,6.13636,6.15323,6.11153,6.10922,6.20176,5.92814,6.39652,6.83504,7.49576,7.01632,6.50092,6.59091,6.4752,6.01642,4.57306,5.02073,5.01891,5.43265,5.65904,5.88182,5.77031,6.81022,6.81467,6.75088,6.80512,7.24886,5.79842,,
Rice_Mid_China_Shanxi,,,,,,,,,,,,,,,,,,,,5.7377,5.85106,6.18557,7.14286,7.06522,6.82353,6.21951,5.47945,5.46667,6.06742,5.86957,5.87629,6.27907,5.73333,5.90909,6.5625,5.50173,6.20521,6.55738,5.55556,7.24062,4.5098,5.67797,3.98714,4.05,3.35821,4.7619,4.16284,1.22807,4.38596,4.42308,4.90196,5.94059,,
Rice_Mid_China_Nei Mongol,,,,,,,,,,,,,,,,,,,,2.68456,2.5641,2.8481,2.42424,3.27869,3.31915,3.06273,2.8,3.38983,3.7051,3.96966,3.85051,4.39024,4.49591,4.47871,5.03817,5.68562,5.78215,5.11885,5.88789,6.09797,6.57773,6.23844,6.71943,6.73671,7.35851,7.19245,7.53663,7.20402,6.36542,8.11503,8.65742,8.20108,,
Rice_Mid_China_Liaoning,,,,,,,,,,,,,,,,,,,,6.10578,6.2673,6.25,7.20486,7.65849,5.47688,6.40375,6.3229,6.2868,5.00542,6.79551,7.13712,7.40568,7.77571,6.89339,5.53957,7.08871,7.84256,7.63911,8.26783,7.70063,6.50145,7.3005,7.01911,7.3778,7.32759,6.82669,7.64457,7.67572,7.70519,6.75424,7.65767,7.67301,,
Rice_Mid_China_Jilin,,,,,,,,,,,,,,,,,,,,4.25406,4.43437,5.54916,5.68907,6.70882,5.67859,4.98434,6.05814,5.67184,4.68052,6.91683,7.06737,6.84901,6.75707,7.01078,6.91108,8.00276,8.3028,8.39869,8.72528,6.40903,5.40422,5.55472,5.88224,7.29245,7.23685,7.42496,7.4638,8.79004,7.64688,8.44061,9.0199,7.58748,,
Rice_Mid_China_Heilongjiang,,,,,,,,,,,,,,,,,,,,3.77852,2.49888,2.96699,3.72709,4.46847,4.18014,4.35589,3.88736,4.30458,3.75931,4.66815,4.2335,4.83813,5.2794,5.49324,5.62687,5.74266,6.16293,5.90924,5.84753,6.48982,6.48564,5.88724,6.52878,7.11677,6.79573,6.82662,6.29314,6.34952,6.39826,6.65947,7.00066,7.07281,,
Rice_Mid_China_Shanghai,,,,,,,,,,,,,,,,,,,,5.04909,4.80427,6.05911,5.91286,6.61351,6.12086,6.93327,6.65525,6.9877,7.15333,7.17945,7.50227,7.17631,7.14152,7.60849,7.53749,7.77445,8,8.04326,7.71677,7.83323,8.34081,8.07665,7.761,8.01932,7.59172,8.10884,7.8834,8.22343,8.29662,8.32765,8.37858,8.4813,,
Rice_Mid_China_Jiangsu,,,,,,,,,,,,,,,,,,,,5.09419,5.45951,6.15039,6.76225,7.2149,6.85074,7.13126,6.98208,6.94523,7.38363,6.98913,7.02733,7.08187,7.39512,7.4104,8.00488,8.00603,8.12947,8.82368,8.08628,8.18147,8.43053,8.63172,7.63184,7.92021,7.72578,8.02283,7.90469,7.93785,8.07495,8.09241,8.29019,8.42895,,
Rice_Mid_China_Zhejiang,,,,,,,,,,,,,,,,,,,,5.24554,4.21394,5.82152,6.23563,6.48995,5.65534,5.29509,6.51234,5.52572,5.7436,5.20005,6.16231,5.59176,6.31455,6.48975,6.749,6.90188,6.68513,7.06637,6.90037,7.02926,7.26702,7.27996,6.92687,7.02882,6.48,7.24817,7.0557,7.37602,7.47501,7.50305,7.66196,7.71793,,
Rice_Mid_China_Anhui,,,,,,,,,,,,,,,,,,,,4.12118,4.92103,5.26146,5.43697,5.91793,6.39669,6.47351,5.97063,5.92727,6.42011,6.52134,5.43837,5.96183,6.61956,6.09902,6.53957,7.09365,6.43252,7.22531,6.78739,5.97256,6.50936,7.03211,4.95006,6.45988,6.1294,6.3832,6.51246,6.60223,6.60973,6.4934,6.54056,6.55381,,
Rice_Mid_China_Fujian,,,,,,,,,,,,,,,,,,,,3.75626,4.36391,4.37204,4.74322,4.58433,4.63968,4.77931,5.44572,4.96911,5.31107,5.03612,5.10957,5.2084,5.32004,5.32151,5.47704,5.6872,5.58133,5.67425,5.61891,5.64024,5.6308,5.5347,5.54498,5.70184,5.85093,5.86565,6.11428,6.1129,6.19554,6.18259,6.27596,6.28402,,
Rice_Mid_China_Jiangxi,,,,,,,,,,,,,,,,,,,,3.85385,4.06712,4.2491,4.3999,4.53292,4.66049,4.55395,4.63774,4.29201,4.65447,4.71381,5.15023,6.2439,6.5625,6.19498,6.65266,6.90265,6.88328,6.92184,6.57219,6.41509,6.17794,6.39754,5.79835,6.0667,6.42692,6.70886,6.69476,6.67721,6.69503,6.60883,6.63213,6.76915,,
Rice_Mid_China_Shandong,,,,,,,,,,,,,,,,,,,,4.28986,4.67963,5.07538,5.66667,5.30443,5.58534,5.91549,5.6888,1.71008,5.95682,7.29469,7.54909,6.59628,6.92096,7.16418,7.53097,7.49538,6.80833,8.81345,6.70514,6.27044,6.34284,7.04095,6.91618,7.2804,7.99666,8.24703,8.44061,8.449,8.32108,8.29434,8.34752,8.34585,,
