	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1980	5.34556282326	25.8642616751	21.3523176263	-51.6138290034	27.8854807819	-30.1202682458	3.38517116065	38.4682662665	21.0497726263	-30.9839803699	-41.701901864	48.7697560834
1981	-17.74644075	-44.0712064982	-43.6610111976	21.9085735842	-123.97298589	-2.05306208217	-78.4621096625	-29.0971129042	-90.3086019231	30.5011243743	8.2037912112	120.770543638
1982	-110.239719544	45.8036954256	-24.2675245931	-92.4889491009	-60.1241674793	114.450145234	74.8535642785	23.7524968468	-78.2968683845	59.8189416276	221.722710338	14.7332990691
1983	17.4823269266	-12.6363481973	81.8213558983	82.7064746701	232.15863947	104.792901144	89.2702002685	-53.8852261278	131.67356179	14.2682475512	12.3828367337	-36.0989906829
1984	-32.4443337834	-81.2246708784	28.4399862778	28.8231975248	-52.7771816422	-10.0677000505	-50.8566201798	85.249666669	-7.65028246817	-105.607706981	45.008968104	21.5378137905
1985	-114.158762909	33.5246432459	-1.89550285846	50.2154656954	-16.2407155384	-75.8367998089	-33.4009863665	-38.9205463763	-73.3372567214	-89.014620566	-61.4480525642	-126.96899783
1986	-7.33791719221	26.3842616556	21.2257510568	11.8627957908	76.150915666	-85.6185627848	-55.8910062206	72.1357925787	0.49507336807	-75.0379623151	-21.7206725722	23.1207658267
1987	-63.1537667516	25.5922391206	-55.0508552992	18.7541079135	100.714718113	6.89214764597	-7.80864367459	-41.2590503065	-77.6337758858	-31.4382014581	-30.1530508485	-39.8484565447
1988	-24.339914908	-51.5239636091	-31.7403397485	42.8587660053	111.38407025	-27.0303545607	-91.8083513892	-68.2997225499	-90.648114657	10.8416710633	-83.1334048629	-54.4874548125
1989	110.559851048	39.1557317133	12.5138748572	-22.9003421221	-75.9846538907	7.0442169855	31.6586841331	71.7239251594	61.3323038441	-48.0575689552	-48.2872721782	-10.839989746
1990	86.4658950118	-73.8778397307	16.2058233326	78.7049357658	40.728685834	29.6161202692	49.2015967241	67.6498358278	60.1774822441	-4.13914559937	41.7509967152	-69.0078039631
1991	-20.5816657343	-90.547407837	-14.6122262354	-15.8467275035	-79.4735420043	84.191333615	-59.4199184028	-34.2282357365	-19.3188016532	-80.7077363454	-1.77759990522	99.3787831279
1992	-113.698853364	15.5734919469	59.7233103665	15.0276096761	188.658655324	-43.9264160915	39.9499267269	23.9514833091	-3.63277431117	-30.4601489977	-31.6547816153	-88.6930703883
1993	50.7107748662	-41.9252989946	27.3192424142	-39.9530711019	43.3025356141	10.8818273764	14.1665072626	-39.1229769032	96.8193011758	-4.30716761717	35.6722949713	4.89543484358
1994	-23.5790523488	54.7926482774	-19.5116651219	-18.8183959936	31.8127053322	36.7227869405	12.5445037037	-64.5640317079	-78.2940912845	23.4412231797	-17.0950521919	105.886898874
1995	97.5670128893	26.919049001	26.9483519978	-36.6137943139	-99.3460222853	-37.2368749387	-24.552805616	-27.7627796899	47.6923246394	52.5334449713	-80.9142111484	-28.5470985947
1996	18.2887556479	18.3434090243	66.8589450955	-63.1794889607	-88.5421295663	-34.4954614914	-45.5710186776	-11.5505143673	36.4390800055	113.427045412	12.3173266813	155.859562556
1997	40.1999477449	73.8587118237	-66.960042954	-59.261675224	19.7436929676	56.7312776148	-16.619859206	10.4360764855	15.229691479	76.0695267255	162.443668581	7.96035487393
1998	-47.7886546574	86.3928884861	141.190491937	113.020992629	-12.712221033	-48.2852191863	-2.51958145007	173.788298737	127.262726303	25.9171357447	-104.00161958	-8.34477818801
1999	13.7487583899	-21.5652000925	-33.972325385	-17.0247629774	-33.8121393562	10.4365897512	27.491241303	-69.5465668528	-37.7545001643	-50.0418892612	-64.0130500334	-49.6740518118
2000	-25.6582464007	19.2076975702	-4.2944596921	-57.8096597199	-53.2580225403	37.6324159242	-5.01415434536	33.2717579816	75.9593669986	29.0050175181	6.48402410009	-7.87380779278
2001	-37.1477900279	87.4486462168	8.57341406318	-9.17760750744	13.3088831599	4.29688405622	3.71195267191	-25.3248671097	-36.3065937071	-56.5029660979	-3.35212989039	-15.8701553554
2002	-8.76404866825	-41.6232739079	-47.7376220147	-57.5696716315	127.087917936	-60.1437931093	-23.0236227918	18.1167611854	-27.0916528644	46.5476580499	65.1744603976	-0.0680416178745
2003	74.0110864251	4.33852694383	-27.8998656761	-9.03412241831	-103.089409375	-25.5718498262	-22.2354549851	-37.3726992971	-5.93707712554	-25.5925821135	-7.87733434649	51.0369729011
2004	-5.41613998851	-73.4001782423	-40.9679181636	-23.0795716581	76.9363612532	-17.3602467297	30.5034366669	-64.6974854946	-69.4388596248	58.927535132	-7.44767833467	-76.1978217358
2005	42.0498498722	-116.767280923	-42.4570758728	2.75343362174	50.8355952011	16.553035375	-31.1908914326	-5.71870182744	24.1948058035	65.4150535416	-65.1521091832	-50.100541637
2006	-37.4620756587	23.3494334312	0.437249013865	-58.6428213023	-120.010297523	-71.8469902492	-54.8783408424	-24.0891800149	17.5452994831	-71.6489883069	18.9478703621	53.0316277172
2007	100.679698195	28.3826945142	-16.3119539463	4.11810304762	27.4932947649	-96.6262627536	67.6163767991	-37.432118558	-92.577007329	-60.8268356725	69.7783124124	11.0828598872
2008	-3.05511349892	31.9512773213	-0.424617383067	79.5696116028	-68.368171338	-20.9115703735	-52.8471191119	91.8359889144	-37.5272516881	35.9129361172	7.07229474882	-109.077500821
2009	11.4820231385	2.57119349034	-48.5551871314	-94.6701135677	-1.56087761179	-14.0633690369	120.318176848	54.0816020594	125.166226759	110.267138821	85.6605499511	30.734729284
2010	84.0120720322	-0.831072321803	59.3164244936	76.2096429514	10.0877298486	-66.5102981724	14.5488418312	-39.1364672246	49.9727793359	-27.9670278127	-53.67064608	93.3520145956
2011	15.123321398	48.3065597171	-41.7673660077	-3.9200651339	-120.379983911	-2.73725910763	32.4907709084	59.628628669	-94.1229132055	127.86158589	-31.6618465307	-101.893130097
2012	-38.2592272098	-40.0136458048	-35.7841657251	53.9475327583	-66.8018742047	90.0124634744	-16.118922328	-48.8478538608	-77.3876656459	-10.7842348914	-50.8773905043	69.0497525679
2013	-63.2332626521	-4.54646976992	-5.77846610326	27.4168866502	4.71451183435	106.763930101	12.5956445724	-36.7177492898	-4.68780607812	14.8297187571	-19.0376698756	-85.6206617438
2014	26.3380496397	-23.2072037933	31.7236526788	23.7065393536	-6.54999816264	53.4242830917	47.9128108238	-26.5166944908	110.942098866	-92.466241115	32.3573688008	48.0111837257
