Region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Soybean_China_Jilin,,,,,,,,,,,,,,,,,,,,,1.0872,1.3052,1.2181,1.7609,2.04,1.89082,1.71131,1.9912,1.8094,1.2564,2.0116,1.6628,1.7234,1.9886,2.1153,2.0681,2.1412,2.02196,2.42524,2.28448,2.23191,2.55432,3.07157,3.49535,2.89142,2.57924,3.15442,1.7595,1.98206,1.87471,2.10105,2.1014,1.7756,2.1159,1.7489,,
Soybean_China_Heilongjiang,,,,,,,,,,,,,,,,,,,,,1.3527,1.1196,1.2198,1.4091,1.618,1.44729,1.72076,1.5982,1.6262,1.2634,1.5674,1.4793,1.6161,1.5999,1.8415,1.7005,1.9209,2.40776,1.8082,2.07409,1.56922,1.49175,1.89857,1.65462,1.79581,1.77404,1.53669,1.1022,1.53721,1.47692,1.60478,1.70603,1.73955,1.5916,1.7868,,
Soybean_China_Liaoning,,,,,,,,,,,,,,,,,,,,,1.1314,1.3546,1.2653,1.7012,1.7049,1.38931,1.54765,1.2447,1.1823,0.624,1.2235,1.1128,1.0552,1.5318,1.6096,1.5118,1.689,1.39298,1.96683,1.66716,1.59324,1.62729,1.86405,2.11711,1.76073,1.51479,2.94492,2.45455,2.69337,1.82815,2.45033,2.5802,2.69534,2.471,2.0959,,
Soybean_Brazil_MatoGrosso,,,,,,,,,,,,,,,,,,1.452,1.333,1.368,1.67,1.797,1.85,1.912,2,2.08,2.1,2.17,2,2.16,1.93,2.37,2.4,2.45,2.49,2.37,2.46,2.73,2.75,2.8,3.03,3.09,3.045,2.93,2.864,2.938,2.695,2.997,3.145,3.082,3.015,3.19,3.13,3.01,3.069,3.136,
Soybean_Brazil_Goias,,,,,,,,,,,,,,,,,,1.324,1.01,1.758,1.82,1.459,1.8,1.9,1.615,1.835,1.825,1.9,1.857,2,1.5,2.1,2.2,2,2.19,1.9,2.25,2.5,2.52,2.58,2.8,2.7,2.85,2.93,2.39,2.624,2.57,2.79,3.002,2.963,2.88,3.14,3.12,2.965,2.9,2.594,
Soybean_Brazil_MatoGrossodoSul,,,,,,,,,,,,,,,,,,0,0.955,1.482,1.6,1.74,1.765,1.9,1.785,1.96,1.54,1.95,2.07,2.2,1.6,2.27,1.99,2.09,2.2,2.21,2.42,2.5,2.1,2.6,2.26,2.94,2.75,2.9,1.85,1.902,2.28,2.81,2.639,2.436,3.1,2.937,2.55,2.88,2.9,3.12,
Soybean_Brazil_Parana,,,,,,,,,,,,,,,,,,2.091,1.341,1.723,2.24,2.23,1.94,2.11,1.87,2.05,1.2,2.17,2.22,2.1,2,1.84,1.9,2.36,2.525,2.61,2.7,2.63,2.55,2.789,2.517,3.06,2.887,3.016,2.55,2.34,2.422,2.995,2.991,2.337,3.139,3.36,2.453,3.348,2.95,3.294,
Soybean_Brazil_RioGrandedoSul,,,,,,,,,,,,,,,,,,1.619,1.246,0.911,1.4,1.595,1.18,1.458,1.515,1.57,1,1.6,1.04,1.7,1.8,0.72,1.95,2.03,1.8,2.04,1.57,1.62,2.1,1.52,1.65,2.395,1.705,2.68,1.4,0.698,1.96,2.55,2.028,2.07,2.57,2.845,1.555,2.714,2.605,2.835,
Soybean_USA_Iowa,1.714875,1.916625,1.849375,2.051125,1.916625,1.7485,1.983875,1.849375,2.152,2.185625,2.185625,2.185625,2.421,2.2865,1.883,2.2865,2.08475,2.387375,2.521875,2.521875,2.589125,2.69,2.454625,2.35375,2.118375,2.5555,2.790875,2.925375,2.08475,2.62275,2.790875,2.723625,2.959,2.08475,3.396125,2.959,2.959,3.0935,3.228,2.992625,2.925375,2.959,3.228,2.185625,3.29525,3.530625,3.396125,3.497,3.127125,3.42975,3.42975,3.463375,3.02625,3.059875,3.463375,,
Soybean_USA_Illinois,1.7485,1.916625,1.916625,1.983875,1.68125,1.983875,1.81575,2.08475,2.118375,2.2865,2.08475,2.21925,2.320125,2.118375,1.647625,2.421,2.21925,2.5555,2.252875,2.62275,2.252875,2.5555,2.589125,1.983875,2.118375,2.858125,2.69,2.5555,1.81575,2.69,2.62275,2.521875,2.89175,2.89175,3.059875,2.62275,2.723625,2.89175,2.959,2.8245,2.959,3.02625,2.89175,2.48825,3.3625,3.127125,3.228,2.925375,3.16075,3.0935,3.463375,3.194375,2.89175,3.3625,3.766,,
