	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1980	-0.536993565388	9.99393880363	39.1911564114	-44.2280545708	-4.67548890608	26.5520124103	34.4866573367	-19.4440370503	-16.1680412099	11.5521078325	-23.0901456937	-9.37372525016
1981	1.03173769233	-10.9295887298	41.9777873546	-33.6540146225	53.5154078854	14.6631827341	-4.40434119012	-18.1505659144	23.110664858	66.869010458	-44.884401443	54.9620788294
1982	14.4136099354	-26.8268123286	12.2312050747	-46.6696252086	-5.45983524335	27.524417874	-0.843667664626	-7.416326232	4.84253361623	52.8403878573	6.9196380738	52.7456777004
1983	-21.5152651264	8.95552110739	-4.65208382432	77.0241391736	48.4297345517	-11.7084905323	-6.42941012464	0.867758945112	8.66765107107	-35.5364801666	-37.3029943417	-28.2524237402
1984	69.4563856839	-4.38261976618	1.5920359739	-50.3001908814	45.8544767613	-21.5262599306	-22.9677927925	-1.35642992492	50.2881844573	14.1392959695	43.8819606849	-17.967039498
1985	-24.8259801377	-13.8275875154	14.120670267	11.5580032143	24.3329785425	8.5740622243	-14.9467197794	-4.53345828352	-42.8959015825	-67.9052513043	-15.0620049054	-24.5582267432
1986	43.0895309232	-18.2943871672	27.4733565047	37.2376785489	-3.31995230535	-21.0188671501	-38.4141184505	15.9086669418	18.5300593205	-3.25845005549	-16.683051433	8.47698769617
1987	-52.2962008056	-12.8229084473	5.69266825548	-19.9284809173	-15.7327775514	49.4471324629	33.170055542	-2.91859088728	-11.0718351977	60.5940014828	-5.69174680839	-37.2339498245
1988	90.368934801	33.804737125	49.1037095051	-11.7236802475	28.0145129332	-14.1666388795	24.2420293553	-22.4875062175	-4.41335110911	-9.3115537567	-39.1608337314	-32.1164269306
1989	-45.7056463261	4.27411849478	6.91131653378	52.3125335429	-48.0899016817	-17.1933074061	-14.0355316855	-21.4010078258	-31.0391265258	-38.3453650535	-29.7306260878	19.3500836571
1990	-9.0650872059	56.4863894573	-49.7055099167	-3.46028770958	-39.5901802083	8.18528777652	-35.7871968903	-26.6466019328	-27.4083148	18.8337716847	-6.04885829687	-19.7483242087
1991	0.0959342116877	-33.2331414522	-4.52522874377	-13.637206431	-48.8450954343	14.7409244605	4.25068394722	-37.977036917	17.773886829	-18.2830319853	28.9171797062	-53.3219181008
1992	-61.3940987101	-24.5545780666	1.64145876148	-10.5811396849	-20.1793975552	29.298530774	-2.36837140856	42.7586077683	-8.94843342705	10.7373590053	45.3416873166	-25.7036936683
1993	-13.7577043602	-50.1921303423	-48.7615177128	21.9195256346	-7.3412928968	18.5215806932	-6.44080330341	-27.2336371704	88.1047800881	12.778381959	-46.4452399312	55.9892866717
1994	39.1642675496	27.0641742087	-16.9246043083	20.3888982954	22.4472743497	-6.62229364082	-22.6085349009	11.8824090474	60.8985778287	-14.9554759042	-12.9595396008	11.2296203059
1995	69.8176750279	46.7295478107	22.8414745066	-5.72567505037	-4.18149418039	-35.3942411847	-10.3489666809	-15.4383147323	30.8839661615	-45.3377318947	-29.3509673229	8.28044353891
1996	-11.4182949445	9.64493306858	-31.7008642913	-36.1905011445	10.829022683	-44.3309074602	-17.5945107759	14.3876932177	-19.3021806726	-40.2701499076	64.5184991647	-31.6900901181
1997	-55.0148623658	22.843124633	-49.5059288476	-44.4948709162	14.4656091168	57.637538884	-20.1096249887	11.212678919	-50.7969610307	-48.0385628193	48.2426622787	16.2145149844
1998	22.1920515441	-45.5763599954	-22.8842541783	92.702374194	-40.9064562097	-6.9383684092	-28.384589054	-28.2836236886	45.5396272502	40.2970887865	-23.7047308953	-9.35665138193
1999	6.15570162976	7.46800925165	-4.99384373282	31.2379670891	4.88919766633	-8.35183470438	-12.1130616062	21.4046948465	63.1122259846	-12.5626201871	-28.0515674757	75.8896137822
2000	-51.0147596275	26.3964685974	-20.9410376227	41.6396589444	11.2896418597	-30.1775539371	47.8004685464	-13.3321912487	6.34246193165	44.9386270039	80.8216420468	8.22068479269
2001	37.1877249844	-1.47895947108	90.7240145576	40.6090615217	-28.4771727522	-25.3562689806	54.652945217	6.77123890936	17.9598197242	11.0783935782	-18.4922975624	-36.850780782
2002	-30.9184065842	42.4495636503	-7.05116737584	-35.770154536	12.5385763208	-11.5930941532	-3.38915775778	26.124084615	-23.9492229107	5.96792942448	74.0263682567	26.6548848055
2003	9.2416818113	-22.0813857305	-29.831064369	-22.409472507	-10.1813445013	-8.26749235195	-7.14762751092	-28.0405001412	-30.8456462131	16.8642933597	3.25848919048	-21.636222391
2004	62.152540518	-36.5163575736	-17.1797557665	3.0510725228	-20.1617595758	-32.6126695181	3.39864996961	40.2997999721	-36.6076432706	28.6567552469	-40.5323702001	-24.8402590434
2005	-26.1123204084	-25.5302684869	-15.0114213866	10.8623995499	-15.8026487847	-24.0487285938	-3.56281030381	-21.0245222542	-20.7778842042	-15.1039937484	-20.2236715208	-25.331096296
2006	-37.2429622594	9.9708481644	54.4184550511	-22.1915816428	16.4210392655	-30.4030339552	-7.40709991952	25.642649648	2.61803214789	5.8430099565	-6.84027374148	-6.37689151178
2007	-12.4788495454	41.2558527779	23.9114119511	-43.1581589152	39.4601590048	42.0623032296	33.0491950561	31.0076296611	-23.6239941411	-41.5941874712	-24.3469299813	-16.9297189959
2008	11.6725001898	-16.4017025441	43.3588079374	24.1413573681	22.0222611309	-5.22251371155	-2.88687554364	23.4444957525	-6.00686911122	2.59654934549	-6.17826464489	-36.608129484
2009	3.30265502826	-11.9566223106	-21.0098724051	16.1858198067	-8.49172443814	5.47090330614	10.3077793941	-33.0927007893	-25.3717830649	-28.3710384793	53.6181663883	18.3412762551
2010	-28.232512331	18.3422336827	-2.67000653539	-37.0159960502	-20.9993031569	20.4946901671	-14.7968919235	18.0725518325	1.0284987708	-13.2693097317	34.1298974061	-4.66167043508
2011	-17.1621151156	-14.0117448488	-33.5193401024	-50.1820615815	-45.7880899864	5.16019034081	14.4604312156	40.7857705793	-15.2792152271	-42.0222124124	-45.2066303742	73.7733601852
2012	-21.576132779	-48.5407582938	-31.3900309476	55.390762121	-5.81192203003	35.0302312879	12.2627449721	-25.9492258664	-8.34992974743	52.0366989628	-12.9224352411	56.672484543
2013	-3.6502344337	-1.66910113089	0.511188218571	3.61712959049	31.4393844202	0.621466883093	-1.54704029161	-21.3769261018	6.58492121002	21.797454816	27.6017716153	-1.21175731459
2014	44.5754951013	53.1475533678	-23.4431847973	-8.55722850036	8.08656090619	-9.05189100911	26.4531039949	45.5324725225	-43.4295578044	-4.25570185194	21.6316191046	-23.0320020297
